epoch,time,domain,freq,dyn_power,leak_power,total_power,dyn_energy,leak_energy,total_energy,class0_energy,class1_energy
1,10000,0,1,0.768033,0,0.768033,7680.33,0,7680.33,2304.85,5375.49
2,20000,0,0.744749,0.70489,0,0.70489,7048.9,0,7048.9,2108.44,4940.47
3,30000,0,0.744749,0.721427,0,0.721427,7214.27,0,7214.27,2154.8,5059.47
4,40000,0,1,0.697911,0,0.697911,6979.11,0,6979.11,2091.41,4887.7
5,50000,0,1,0.712812,0,0.712812,7128.12,0,7128.12,2143.82,4984.31
6,60000,0,0.661528,0.710611,0,0.710611,7106.11,0,7106.11,2136.59,4969.52
7,70000,0,0.661528,0.724947,0,0.724947,7249.47,0,7249.47,2177.57,5071.9
8,80000,0,1,0.694147,0,0.694147,6941.47,0,6941.47,2443.79,4497.68
9,90000,0,1,0.693991,0,0.693991,6939.91,0,6939.91,2794.64,4145.27
10,100000,0,1,0.924005,0,0.924005,9240.05,0,9240.05,2840.31,6399.74
11,110000,0,1,0.943508,0,0.943508,9435.08,0,9435.08,2803.11,6631.97
12,120000,0,0.536315,0.707497,0,0.707497,7074.97,0,7074.97,2811.01,4263.95
13,130000,0,0.536315,0.707451,0,0.707451,7074.51,0,7074.51,3255.12,3819.39
14,140000,0,0.576839,0.684328,0,0.684328,6843.28,0,6843.28,2905.75,3937.53
15,150000,0,0.576839,0.687841,0,0.687841,6878.41,0,6878.41,2998.42,3879.99
16,160000,0,0.899602,1.03749,0,1.03749,10374.9,0,10374.9,3192.99,7181.87
