epoch,time,domain,freq,dyn_power,leak_power,total_power,dyn_energy,leak_energy,total_energy,class0_energy,class1_energy
1,10000,0,1,0.768033,0,0.768033,7680.33,0,7680.33,2304.85,5375.49
2,20000,0,0.719944,0.607055,0,0.607055,6070.55,0,6070.55,1814.66,4255.89
3,30000,0,0.988242,0.798145,0,0.798145,7981.45,0,7981.45,2387.64,5593.81
4,40000,0,0.669759,0.599933,0,0.599933,5999.33,0,5999.33,1806.4,4192.93
5,50000,0,1,0.844257,0,0.844257,8442.57,0,8442.57,2536.66,5905.91
6,60000,0,0.592904,0.538064,0,0.538064,5380.64,0,5380.64,1983.46,3397.18
7,70000,0,1,0.899018,0,0.899018,8990.18,0,8990.18,2528.31,6461.87
8,80000,0,0.501637,0.463794,0,0.463794,4637.94,0,4637.94,2133.77,2504.17
9,90000,0,1,0.933357,0,0.933357,9333.57,0,9333.57,2674.33,6659.24
10,100000,0,0.5,0.477116,0,0.477116,4771.16,0,4771.16,2296.89,2474.27
11,110000,0,1,0.962692,0,0.962692,9626.92,0,9626.92,2893.47,6733.45
12,120000,0,0.5,0.497392,0,0.497392,4973.92,0,4973.92,2395.6,2578.32
13,130000,0,1,1.00645,0,1.00645,10064.5,0,10064.5,2981.43,7083.1
14,140000,0,0.5,0.514346,0,0.514346,5143.46,0,5143.46,2473.66,2669.8
15,150000,0,1,1.04022,0,1.04022,10402.2,0,10402.2,3134.29,7267.93
16,160000,0,0.5,0.533292,0,0.533292,5332.92,0,5332.92,2592.96,2739.95
