epoch,time,total_power,headroom,avg_power,class0_p50,class0_p95,class0_p99,class0_qdel_p99,class0_throughput,class0_stall_busy_rate,class0_stall_full_rate,class0_stall_conflict_rate,class0_stall_reserved_rate,class0_stall_xbar_rate,class1_p50,class1_p95,class1_p99,class1_qdel_p99,class1_throughput,class1_stall_busy_rate,class1_stall_full_rate,class1_stall_conflict_rate,class1_stall_reserved_rate,class1_stall_xbar_rate
1,10000,0.768033,-0.168033,0.768033,19,30,37,0,11.5086,0,0,0,0.0092625,1.48762,19,30,37,3,26.8069,0,0,0,0.0221187,3.39899
2,20000,0.607055,-0.00705489,0.687544,37,147,147,0,0.0013,0,0,0,0,0,28,65,112,1,0.004,0,0,0,0,0
3,30000,0.798145,-0.198145,0.724411,0,0,0,0,0.0008,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0
4,40000,0.599933,6.68608e-05,0.693292,66,237,363,0,11.4662,0.00516875,0,0.192137,0.994019,8.03736,65,236,361,3,26.6636,0.0111313,0,0.444431,2.28504,18.5308
5,50000,0.844257,-0.244257,0.723485,19,32,78,0,11.6076,0.0001125,0,0.003025,0.044375,1.60424,19,32,73,3,27.0441,0.000275,0,0.00743125,0.0959062,3.65484
6,60000,0.538064,0.0619359,0.692581,253,930,1654,534,10.7998,3.34017,0.696856,4.79162,2.10692,8.52289,228,678,1216,2865,18.705,2.50619,0.54595,5.79396,3.18355,16.6792
7,70000,0.899018,-0.299018,0.722072,81,689,1670,4425,12.2262,3.97491,0.732575,4.71126,1.79793,5.67114,76,419,783,10507,30.8625,4.63307,1.04685,7.05671,3.90002,16.6438
8,80000,0.463794,0.136206,0.689787,324,1309,2372,1651,10.1635,4.85098,1.10678,5.58515,1.84821,6.4528,285,905,1563,12060,12.1335,2.49521,0.683025,4.09108,1.78737,8.70107
9,90000,0.933357,-0.333357,0.716851,129,906,2344,8604,12.2002,6.72764,1.21926,6.90372,1.94043,6.24746,105,469,878,22707,29.9528,5.99861,1.75611,8.44479,4.26233,17.9516
10,100000,0.477116,0.122884,0.692877,326,1532,2998,11805,10.1301,5.70574,1.38986,5.86777,1.871,5.88872,278,938,1656,22446,11.1412,2.56508,0.717894,3.85227,1.57551,7.51904
11,110000,0.962692,-0.362692,0.717406,133,1016,2584,26986,12.1211,8.47993,1.70288,7.35936,1.93799,5.71167,98,504,959,33777,27.8547,6.91069,2.0792,7.8949,3.64194,15.7284
12,120000,0.497392,0.102608,0.699071,336,1464,2657,17403,10.3425,5.52499,1.35311,6.12754,2.04338,5.97516,284,934,1605,33391,11.2916,2.39527,0.724994,3.95261,1.76098,7.52832
13,130000,1.00645,-0.406453,0.722716,131,926,2381,31871,12.4238,7.25414,1.41476,7.01361,2.04552,6.24852,104,489,912,56781,29.1321,6.07479,1.9226,8.30766,4.13772,17.1209
14,140000,0.514346,0.085654,0.707833,318,1500,2692,17875,10.0577,5.9537,1.34664,5.80478,1.61404,5.88353,272,951,1622,48901,11.0862,2.48988,0.770469,3.52646,1.33418,7.44459
15,150000,1.04022,-0.440222,0.729992,134,1047,2630,36533,12.3293,8.26278,1.58308,7.49682,2.00683,5.92634,101,501,941,64775,28.1823,6.46759,2.05549,7.76701,3.83522,16.1322
16,160000,0.533292,0.0667082,0.717698,797,4512,7212,45288,0,0,0,0,0,0,338,1360,2183,73504,0,0,0,0,0,0
