epoch,time,domain,freq,dyn_power,leak_power,total_power,dyn_energy,leak_energy,total_energy,class0_energy,class1_energy
1,10000,0,1,0.71974,0,0.71974,7197.4,0,7197.4,2166.32,5031.08
2,20000,0,0.97885,0.675309,0,0.675309,6753.09,0,6753.09,2028.61,4724.48
3,30000,0,1,0.741007,0,0.741007,7410.07,0,7410.07,2227.76,5182.31
4,40000,0,0.956064,0.665334,0,0.665334,6653.34,0,6653.34,2004.85,4648.48
5,50000,0,0.9,0.747028,0,0.747028,7470.28,0,7470.28,2243.03,5227.25
6,60000,0,0.949613,0.734076,0,0.734076,7340.76,0,7340.76,2199.85,5140.91
7,70000,0,0.870792,0.763336,0,0.763336,7633.36,0,7633.36,2299.79,5333.57
