epoch,time,total_power,headroom,avg_power,class0_p50,class0_p95,class0_p99,class0_qdel_p99,class0_throughput,class0_stall_busy_rate,class0_stall_full_rate,class0_stall_conflict_rate,class0_stall_reserved_rate,class0_stall_xbar_rate,class1_p50,class1_p95,class1_p99,class1_qdel_p99,class1_throughput,class1_stall_busy_rate,class1_stall_full_rate,class1_stall_conflict_rate,class1_stall_reserved_rate,class1_stall_xbar_rate
1,10000,0.71974,-0.11974,0.71974,17,24,27,0,7.6765,0,0,0,0.00023125,0.430063,17,24,27,2,17.8324,0,0,0,0.0006625,0.971275
2,20000,0.583292,0.0167081,0.651516,24,33,33,0,0.0008,0,0,0,0,0,21,33,36,2,0.0025,0,0,0,0,0
3,30000,0.597407,0.00259257,0.63348,0,0,0,0,0.0007,0,0,0,0,0,0,0,0,0,0.0019,0,0,0,0,0
4,40000,0.742355,-0.142355,0.660699,18,27,34,0,7.7149,0,0,0,0.00195625,0.4989,18,27,33,2,17.9165,0,0,0,0.005,1.11862
5,50000,0.759816,-0.159816,0.680522,18,27,32,0,7.6637,0,0,0,0.00183125,0.484931,18,26,32,2,17.8538,0,0,0,0.004125,1.09912
6,60000,0.589726,0.0102738,0.66539,26,53,71,0,7.6866,0,0,1.875e-05,0.0295438,1.10626,26,53,71,2,17.9695,0,0,1.875e-05,0.0649062,2.53546
7,70000,0.602157,-0.00215736,0.656356,26,53,72,0,7.6877,0,0,0,0.0291063,1.08213,26,53,71,2,17.8646,0,0,0,0.0692625,2.46441
8,80000,0.603548,-0.00354755,0.649755,27,57,78,0,7.6626,0,0,0,0.038725,1.15149,27,57,78,2,17.8521,0,0,0,0.0937687,2.61317
9,90000,0.616951,-0.0169511,0.64611,28,59,81,0,7.7448,0,0,0,0.04535,1.18474,28,58,80,2,17.9381,0,0,0,0.106213,2.68862
10,100000,0.627334,-0.0273341,0.644233,29,64,89,0,7.6677,0,0,0,0.0613438,1.22398,29,64,89,2,17.8819,0,0,0,0.15175,2.82911
11,110000,0.640091,-0.040091,0.643856,29,65,90,0,7.6493,0,0,0,0.0684312,1.24032,29,65,90,2,17.9315,0,0,6.25e-06,0.147625,2.85324
