epoch,time,total_power,headroom,avg_power,class0_p50,class0_p95,class0_p99,class0_qdel_p99,class0_throughput,class0_stall_busy_rate,class0_stall_full_rate,class0_stall_conflict_rate,class0_stall_reserved_rate,class0_stall_xbar_rate,class1_p50,class1_p95,class1_p99,class1_qdel_p99,class1_throughput,class1_stall_busy_rate,class1_stall_full_rate,class1_stall_conflict_rate,class1_stall_reserved_rate,class1_stall_xbar_rate
1,10000,0.671601,-0.271601,0.671601,16,22,24,0,3.8437,0,0,0,6.25e-06,0.07235,16,22,24,1,8.9454,0,0,0,0,0.165644
2,20000,0.576056,-0.176056,0.623829,20,22,22,0,0.0005,0,0,0,0,0,15,19,19,0,0.0011,0,0,0,0,0
3,30000,0.518773,-0.118773,0.58881,0,0,0,0,0.0003,0,0,0,0,0,0,0,0,0,0.0009,0,0,0,0,0
4,40000,0.437657,-0.0376574,0.551022,23,32,37,0,3.813,0,0,0,0,0.173769,23,32,36,1,8.9894,0,0,0,1.875e-05,0.405606
5,50000,0.432938,-0.0329383,0.527405,24,33,39,0,3.8097,0,0,0,0,0.1852,24,33,38,1,8.9495,0,0,0,0,0.42745
6,60000,0.42605,-0.0260498,0.510513,25,35,40,0,3.8511,0,0,0,0,0.202231,25,34,40,1,9.0128,0,0,0,3.125e-05,0.464744
7,70000,0.424756,-0.0247565,0.498262,25,35,41,0,3.8372,0,0,0,0,0.213306,25,35,41,1,8.9689,0,0,0,0,0.479938
