epoch,time,total_power,headroom,avg_power,class0_p50,class0_p95,class0_p99,class0_qdel_p99,class0_throughput,class0_stall_busy_rate,class0_stall_full_rate,class0_stall_conflict_rate,class0_stall_reserved_rate,class0_stall_xbar_rate,class1_p50,class1_p95,class1_p99,class1_qdel_p99,class1_throughput,class1_stall_busy_rate,class1_stall_full_rate,class1_stall_conflict_rate,class1_stall_reserved_rate,class1_stall_xbar_rate
1,10000,0.71974,-0.31974,0.71974,17,24,27,0,7.6765,0,0,0,0.00023125,0.430063,17,24,27,2,17.8324,0,0,0,0.0006625,0.971275
2,20000,0.417635,-0.0176354,0.568688,60,114,114,0,0.0015,0,0,0,0,0,49,196,213,2,0.0035,0,0,0,0,0
3,30000,0.728599,-0.328599,0.621991,0,0,0,0,0.0008,0,0,0,0,0,0,0,0,0,0.0025,0,0,0,0,0
4,40000,0.436485,-0.0364854,0.575615,46,119,168,0,7.674,0,0,0.0001,0.08575,2.64699,46,119,169,2,17.8347,0,0,0.00039375,0.2084,6.11732
5,50000,0.731594,-0.331594,0.606811,19,27,33,0,7.7004,0,0,0,0.00125625,0.533256,19,27,32,2,17.9241,0,0,0,0.00378125,1.2028
6,60000,0.455653,-0.0556534,0.581618,47,124,186,0,7.6676,0,0,0.00083125,0.102563,2.69404,46,124,186,2,17.9216,0,0,0.001775,0.242781,6.29843
7,70000,0.730643,-0.330643,0.602907,19,28,34,0,7.7127,0,0,0,0.0015625,0.59045,19,28,34,2,17.9288,0,0,0,0.003225,1.33155
8,80000,0.473828,-0.0738276,0.586772,46,119,173,0,7.6381,0,0,0.00074375,0.086825,2.62444,45,118,173,2,17.7874,0,0,0.00211875,0.203769,6.03185
9,90000,0.728605,-0.328605,0.602531,20,30,37,0,7.7723,0,0,0,0.00145625,0.673506,20,30,38,2,18.0062,0,0,6.25e-06,0.00355,1.52291
10,100000,0.492814,-0.0928137,0.59156,45,116,169,0,7.6401,0,0,0.00055,0.0846188,2.61146,45,115,168,2,17.8213,0,0,0.001125,0.194531,5.98712
11,110000,0.720288,-0.320288,0.603262,21,33,41,0,7.679,0,0,0,0.00231875,0.7422,21,32,41,2,17.997,0,0,0,0.00468125,1.68739
12,120000,0.511771,-0.111771,0.595638,46,116,167,0,7.6599,0,0,0.000475,0.0790437,2.61822,45,115,164,2,17.8509,0,0,0.00039375,0.181669,6.03514
13,130000,0.709012,-0.309012,0.604359,23,36,46,0,7.6916,0,0,0,0.0021125,0.852962,23,36,46,2,17.9925,0,0,0,0.00523125,1.9527
14,140000,0.530919,-0.130919,0.599113,46,119,172,0,7.6831,0,0,0.0004875,0.0872938,2.65112,46,119,173,2,17.8832,0,0,0.00080625,0.204788,6.12934
