epoch,time,domain,freq,dyn_power,leak_power,total_power,dyn_energy,leak_energy,total_energy,class0_energy,class1_energy
1,10000,0,1,0.71974,0,0.71974,7197.4,0,7197.4,2166.32,5031.08
2,20000,0,0.5,0.417635,0,0.417635,4176.35,0,4176.35,1254.75,2921.6
3,30000,0,0.955911,0.728599,0,0.728599,7285.99,0,7285.99,2190.19,5095.79
4,40000,0,0.5,0.436485,0,0.436485,4364.85,0,4364.85,1315.08,3049.77
5,50000,0,0.908787,0.731594,0,0.731594,7315.94,0,7315.94,2196.98,5118.96
6,60000,0,0.5,0.455653,0,0.455653,4556.53,0,4556.53,1365.42,3191.11
7,70000,0,0.860866,0.730643,0,0.730643,7306.43,0,7306.43,2201.37,5105.06
8,80000,0,0.5,0.473828,0,0.473828,4738.28,0,4738.28,1422.96,3315.32
9,90000,0,0.815431,0.728605,0,0.728605,7286.05,0,7286.05,2198.18,5087.86
10,100000,0,0.5,0.492814,0,0.492814,4928.14,0,4928.14,1479.61,3448.53
11,110000,0,0.767966,0.720288,0,0.720288,7202.88,0,7202.88,2153.6,5049.29
12,120000,0,0.5,0.511771,0,0.511771,5117.71,0,5117.71,1537.78,3579.92
13,130000,0,0.720573,0.709012,0,0.709012,7090.12,0,7090.12,2120.6,4969.52
14,140000,0,0.5,0.530919,0,0.530919,5309.19,0,5309.19,1597.09,3712.11
