epoch,time,total_power,headroom,avg_power,class0_p50,class0_p95,class0_p99,class0_qdel_p99,class0_throughput,class0_stall_busy_rate,class0_stall_full_rate,class0_stall_conflict_rate,class0_stall_reserved_rate,class0_stall_xbar_rate,class1_p50,class1_p95,class1_p99,class1_qdel_p99,class1_throughput,class1_stall_busy_rate,class1_stall_full_rate,class1_stall_conflict_rate,class1_stall_reserved_rate,class1_stall_xbar_rate
1,10000,0.768033,-0.0680334,0.768033,19,30,37,0,11.5086,0,0,0,0.0092625,1.48762,19,30,37,3,26.8069,0,0,0,0.0221187,3.39899
2,20000,0.724401,-0.0244008,0.746217,21,32,32,0,0.0012,0,0,0,0,0,23,39,42,2,0.003,0,0,0,0,0
3,30000,0.782717,-0.0827173,0.758384,0,0,0,0,0.0008,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0
4,40000,0.744631,-0.0446309,0.754946,23,41,54,0,11.5181,0,0,0,0.02655,2.14577,23,41,53,3,26.8911,0,0,0,0.0588188,4.91128
5,50000,0.798835,-0.0988348,0.763723,21,35,45,0,11.5169,0,0,0,0.0160062,1.77852,21,35,44,3,26.8106,0,0,0,0.0392438,4.097
6,60000,0.761719,-0.0617185,0.763389,24,45,59,0,11.613,0,0,1.25e-05,0.0306562,2.34354,24,44,58,3,26.9009,0,0,2.5e-05,0.0766187,5.41163
7,70000,0.816261,-0.116261,0.770942,22,37,48,0,11.5371,0,0,0,0.0193,1.92741,22,37,48,3,26.8291,0,0,0,0.0452375,4.42089
8,80000,0.774746,-0.0747461,0.771418,25,49,65,0,11.5027,0,0,0,0.0417812,2.55537,25,49,64,3,26.868,0,0,5.625e-05,0.0992375,5.9088
