epoch,time,domain,freq,dyn_power,leak_power,total_power,dyn_energy,leak_energy,total_energy,class0_energy,class1_energy
1,10000,0,1,0.768033,0,0.768033,7680.33,0,7680.33,2304.85,5375.49
2,20000,0,0.902809,0.724401,0,0.724401,7244.01,0,7244.01,2166.84,5077.16
3,30000,0,0.965142,0.782717,0,0.782717,7827.17,0,7827.17,2337.73,5489.44
4,40000,0,0.881832,0.744631,0,0.744631,7446.31,0,7446.31,2231.49,5214.82
5,50000,0,0.936242,0.798835,0,0.798835,7988.35,0,7988.35,2402.5,5585.84
6,60000,0,0.858807,0.761719,0,0.761719,7617.19,0,7617.19,2296.12,5321.06
7,70000,0,0.911831,0.816261,0,0.816261,8162.61,0,8162.61,2453.36,5709.25
8,80000,0,0.833913,0.774746,0,0.774746,7747.46,0,7747.46,2320.21,5427.25
