epoch,time,domain,freq,dyn_power,leak_power,total_power,dyn_energy,leak_energy,total_energy,class0_energy,class1_energy
1,10000,0,1,0.671601,0,0.671601,6716.01,0,6716.01,2018.46,4697.56
2,20000,0,0.910498,0.616476,0,0.616476,6164.76,0,6164.76,1852.51,4312.25
3,30000,0,0.979405,0.644024,0,0.644024,6440.24,0,6440.24,1943.75,4496.5
4,40000,0,0.855976,0.637886,0,0.637886,6378.86,0,6378.86,1897.35,4481.51
5,50000,0,0.952642,0.666385,0,0.666385,6663.85,0,6663.85,1989.39,4674.46
6,60000,0,0.750212,0.616824,0,0.616824,6168.24,0,6168.24,1845.54,4322.7
