topology,policy,injection_rate,power_cap,run_name,converged,latency_avg,control_latency_avg,batch_latency_avg,control_p99,batch_p99,control_throughput,batch_throughput,power_avg,power_peak,freq_avg,freq_min,throughput,elapsed_time,error,batch_nlat_p99,batch_p99_avg,batch_p99_csv,batch_plat_p99,batch_throughput_csv,control_nlat_p99,control_p99_avg,control_p99_csv,control_plat_p99,control_throughput_csv,exit_code,exp_id,summary_batch_p99,summary_control_p99,summary_policy,summary_power_cap,summary_total_power_avg
flatfly,perf_target,0.6,1.0,flatfly_perf_target_inj0.6_cap1.0,True,3747.09,,,,,,,0.8157922352941176,0.954856,0.8606392500000001,0.610996,,205.5383002758026,,,913.1764705882352,1607,,17.142188235294118,,1934.9411764705883,7397,,8.765,0,84,,,,,
flatfly,queue_pid,0.2,0.3,flatfly_queue_pid_inj0.2_cap0.3,True,23.8521,23.7895,23.8521,76,69,0.0598098,0.14032,0.492538,0.671601,0.50143725,0.5,,33.60784316062927,,40,28.857142857142858,41,40,6.409757142857143,40,29.428571428571427,42,40,2.7365,255,43,40,40,queue_pid,0.3,0.492538
flatfly,queue_pid,0.2,0.4,flatfly_queue_pid_inj0.2_cap0.4,True,23.4342,23.3631,23.4342,69,65,0.0598098,0.140318,0.49826157142857147,0.671601,0.5111804375,0.5,,34.54301905632019,,39,28.285714285714285,41,39,6.409714285714285,39,29.0,41,39,2.7365,255,44,39,39,queue_pid,0.4,0.498262
flatfly,queue_pid,0.2,0.5,flatfly_queue_pid_inj0.2_cap0.5,True,22.0158,21.94,22.0158,64,63,0.0598121,0.140321,0.5217628571428572,0.671601,0.5540511875,0.500016,,35.52697706222534,,36,26.428571428571427,38,37,6.409799999999999,37,27.142857142857142,38,37,2.736585714285714,255,45,36,37,queue_pid,0.5,0.521763
flatfly,queue_pid,0.2,0.6,flatfly_queue_pid_inj0.2_cap0.6,True,20.6801,20.599,20.6801,55,57,0.0597589,0.140376,0.5531698333333334,0.671601,0.596689,0.545583,,31.73096203804016,,34,23.166666666666668,35,34,5.9830000000000005,34,23.0,36,34,2.5529333333333333,255,46,34,34,queue_pid,0.6,0.55317
flatfly,queue_pid,0.2,0.7,flatfly_queue_pid_inj0.2_cap0.7,True,19.9093,19.828,19.9093,54,54,0.0598098,0.140321,0.5873588571428571,0.671601,0.619422375,0.52795,,38.7165367603302,,33,24.428571428571427,34,33,6.409757142857144,33,24.571428571428573,35,33,2.7365142857142857,255,47,33,33,queue_pid,0.7,0.587359
flatfly,queue_pid,0.2,0.8,flatfly_queue_pid_inj0.2_cap0.8,True,19.9093,19.828,19.9093,54,54,0.0598098,0.140321,0.5873588571428571,0.671601,0.619422375,0.52795,,38.714993953704834,,33,24.428571428571427,34,33,6.409757142857144,33,24.571428571428573,35,33,2.7365142857142857,255,48,33,33,queue_pid,0.8,0.587359
flatfly,queue_pid,0.2,1.0,flatfly_queue_pid_inj0.2_cap1.0,True,19.9093,19.828,19.9093,54,54,0.0598098,0.140321,0.5873588571428571,0.671601,0.619422375,0.52795,,38.321125984191895,,33,24.428571428571427,34,33,6.409757142857144,33,24.571428571428573,35,33,2.7365142857142857,255,49,33,33,queue_pid,1,0.587359
flatfly,queue_pid,0.4,0.3,flatfly_queue_pid_inj0.4_cap0.3,True,42.6371,42.7028,42.6371,385,376,0.120135,0.279606,0.5301075,0.71974,0.5286639375,0.507705,,70.72287392616272,,127,91.4,143,127,14.30977,128,91.5,143,128,6.1497399999999995,255,50,127,128,queue_pid,0.3,0.530107
flatfly,queue_pid,0.4,0.4,flatfly_queue_pid_inj0.4_cap0.4,True,42.1608,42.279,42.1608,372,385,0.120178,0.2796,0.532546111111111,0.71974,0.5130423125,0.503406,,64.92341876029968,,128,87.0,155,128,13.911211111111111,128,86.33333333333333,155,128,5.980555555555555,255,51,128,128,queue_pid,0.4,0.532546
