epoch,time,domain,freq,dyn_power,leak_power,total_power,dyn_energy,leak_energy,total_energy,class0_energy,class1_energy
1,10000,0,1,2.71251,0,2.71251,27125.1,0,27125.1,8167.84,18957.3
2,20000,0,0.6189,1.95773,0,1.95773,19577.3,0,19577.3,5884.83,13692.5
3,30000,0,0.528312,1.72522,0,1.72522,17252.2,0,17252.2,5200.67,12051.6
4,40000,0,0.502529,1.63463,0,1.63463,16346.3,0,16346.3,4853.8,11492.5
5,50000,0,0.5,1.64051,0,1.64051,16405.1,0,16405.1,4895.87,11509.3
6,60000,0,0.5,1.66347,0,1.66347,16634.7,0,16634.7,4976.76,11657.9
7,70000,0,0.5,1.69658,0,1.69658,16965.8,0,16965.8,5081.15,11884.6
