epoch,time,total_power,headroom,avg_power,class0_p50,class0_p95,class0_p99,class0_qdel_p99,class0_throughput,class0_stall_busy_rate,class0_stall_full_rate,class0_stall_conflict_rate,class0_stall_reserved_rate,class0_stall_xbar_rate,class1_p50,class1_p95,class1_p99,class1_qdel_p99,class1_throughput,class1_stall_busy_rate,class1_stall_full_rate,class1_stall_conflict_rate,class1_stall_reserved_rate,class1_stall_xbar_rate
1,10000,2.71251,-2.31251,2.71251,27,48,56,0,3.8389,0,0,0,0,0.0427734,27,47,56,1,8.9344,0,0,0,0,0.0976484
2,20000,1.95773,-1.55773,2.33512,19,19,19,0,0.0002,0,0,0,0,0,43,58,58,0,0.0007,0,0,0,0,0
3,30000,1.72522,-1.32522,2.13182,0,0,0,0,0.0005,0,0,0,0,0,0,0,0,0,0.0012,0,0,0,0,0
4,40000,1.63463,-1.23463,2.00752,56,112,141,0,3.8109,0,0,0,0.00151094,0.177356,56,112,141,1,8.9837,0,0,0,0.00310469,0.412358
5,50000,1.64051,-1.24051,1.93412,59,121,157,0,3.8101,0,0,0,0.00186719,0.192361,58,121,153,1,8.952,0,0,0,0.00454844,0.447736
6,60000,1.66347,-1.26347,1.88901,61,129,164,0,3.852,0,0,0,0.00276719,0.210569,61,128,166,1,9.014,0,0,0,0.00657344,0.485158
7,70000,1.69658,-1.29658,1.86152,61,129,164,0,3.836,0,0,0,0.00276875,0.210462,61,128,164,1,8.9639,0,0,0,0.00643594,0.484341
