epoch,time,domain,freq,dyn_power,leak_power,total_power,dyn_energy,leak_energy,total_energy,class0_energy,class1_energy
1,10000,0,1,0.768033,0,0.768033,7680.33,0,7680.33,2304.85,5375.49
2,20000,0,0.683058,0.69743,0,0.69743,6974.3,0,6974.3,2086.13,4888.17
3,30000,0,0.708893,0.592811,0,0.592811,5928.11,0,5928.11,1772.51,4155.61
4,40000,0,0.6325,0.601748,0,0.601748,6017.48,0,6017.48,1947.26,4070.22
5,50000,0,0.966961,0.720315,0,0.720315,7203.15,0,7203.15,2487.18,4715.97
6,60000,0,0.652856,0.662808,0,0.662808,6628.08,0,6628.08,2307.13,4320.95
7,70000,0,0.577777,0.70942,0,0.70942,7094.2,0,7094.2,2450.86,4643.35
8,80000,0,0.9,0.734995,0,0.734995,7349.95,0,7349.95,2572.06,4777.9
9,90000,0,0.635928,0.765775,0,0.765775,7657.75,0,7657.75,2650.44,5007.31
10,100000,0,0.824278,0.756545,0,0.756545,7565.45,0,7565.45,2811.25,4754.19
11,110000,0,0.686682,0.821998,0,0.821998,8219.98,0,8219.98,2697.3,5522.68
12,120000,0,0.827783,0.768282,0,0.768282,7682.82,0,7682.82,2739.38,4943.44
13,130000,0,0.657737,0.81683,0,0.81683,8168.3,0,8168.3,2974.98,5193.33
14,140000,0,0.839756,0.855651,0,0.855651,8556.51,0,8556.51,3107.56,5448.95
