epoch,time,total_power,headroom,avg_power,class0_p50,class0_p95,class0_p99,class0_qdel_p99,class0_throughput,class0_stall_busy_rate,class0_stall_full_rate,class0_stall_conflict_rate,class0_stall_reserved_rate,class0_stall_xbar_rate,class1_p50,class1_p95,class1_p99,class1_qdel_p99,class1_throughput,class1_stall_busy_rate,class1_stall_full_rate,class1_stall_conflict_rate,class1_stall_reserved_rate,class1_stall_xbar_rate
1,10000,0.768033,-0.168033,0.768033,19,30,37,0,11.5086,0,0,0,0.0092625,1.48762,19,30,37,3,26.8069,0,0,0,0.0221187,3.39899
2,20000,0.69743,-0.0974295,0.732731,32,72,72,0,0.0008,0,0,0,0,0,25,92,111,4,0.0033,0,0,0,0,0
3,30000,0.592811,0.00718886,0.686091,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0.0029,0,0,0,0,0
4,40000,0.601748,-0.00174756,0.665005,101,651,1366,597,11.0042,2.52869,0.666419,2.47126,2.09134,6.88236,92,468,953,1445,23.1884,2.58977,0.724875,3.55545,4.33514,14.9171
5,50000,0.720315,-0.120315,0.676067,133,1072,2086,3019,11.394,6.77746,1.57495,5.68831,2.42306,4.77501,99,643,1245,6596,21.6649,5.51763,1.79884,6.28648,4.18096,9.95668
6,60000,0.662808,-0.0628075,0.673857,175,970,1770,2664,11.8247,4.93947,1.00404,5.69434,2.25176,6.68063,139,609,1064,15145,22.0617,3.92492,1.02146,6.39302,3.73059,13.5636
7,70000,0.70942,-0.10942,0.678938,183,1047,1902,3691,11.1772,6.75469,1.62027,6.23031,2.34862,5.4474,151,670,1138,18791,21.2272,5.52229,1.91184,7.33352,4.02398,11.4124
8,80000,0.734995,-0.134995,0.685945,188,1143,2077,6119,11.4587,7.18827,1.81473,6.23428,2.27942,5.77829,149,670,1203,26226,21.2486,5.36085,1.84838,6.68422,3.68761,11.98
9,90000,0.765775,-0.165775,0.694815,164,1085,2027,8482,11.478,7.22074,1.81904,6.00912,2.33147,5.19645,128,613,1123,32345,21.6502,5.01289,2.01733,6.43346,3.88316,10.8558
10,100000,0.756545,-0.156545,0.700988,203,1270,2267,8769,11.1316,9.01766,2.23721,6.94211,2.52059,4.96434,156,733,1293,35229,18.872,5.92873,2.33079,6.53229,3.96984,9.4316
11,110000,0.821998,-0.221998,0.711989,160,982,1781,14195,11.8233,6.09228,1.48108,5.77046,2.47449,5.8065,128,552,985,51110,24.159,4.37887,1.48988,6.47815,4.47857,13.4018
12,120000,0.768282,-0.168282,0.71668,200,1208,2322,11678,11.1016,7.97471,1.98629,6.60028,2.28478,5.51128,158,688,1197,48562,20.0651,4.81279,1.87821,6.69207,3.42716,11.2573
13,130000,0.81683,-0.21683,0.724384,196,1179,2255,14369,11.3624,8.68276,2.07908,6.81305,2.60088,5.23621,154,678,1206,55535,19.8897,5.6588,2.03802,6.34296,3.92517,10.3397
14,140000,0.855651,-0.255651,0.73376,201,1181,2159,18383,11.6841,8.28629,1.91944,6.84952,2.58318,5.26361,155,683,1188,77623,20.448,5.92864,2.14934,7.13971,4.15948,10.1909
