epoch,time,total_power,headroom,avg_power,class0_p50,class0_p95,class0_p99,class0_qdel_p99,class0_throughput,class0_stall_busy_rate,class0_stall_full_rate,class0_stall_conflict_rate,class0_stall_reserved_rate,class0_stall_xbar_rate,class1_p50,class1_p95,class1_p99,class1_qdel_p99,class1_throughput,class1_stall_busy_rate,class1_stall_full_rate,class1_stall_conflict_rate,class1_stall_reserved_rate,class1_stall_xbar_rate
1,10000,2.71251,-2.11251,2.71251,27,48,56,0,3.8389,0,0,0,0,0.0427734,27,47,56,1,8.9344,0,0,0,0,0.0976484
2,20000,1.88703,-1.28703,2.29977,66,94,94,0,0.0009,0,0,0,0,0,48,87,87,0,0.0011,0,0,0,0,0
3,30000,1.93545,-1.33545,2.17833,0,0,0,0,0.0006,0,0,0,0,0,0,0,0,0,0.0006,0,0,0,0,0
4,40000,1.81112,-1.21112,2.08653,60,128,162,0,3.8077,0,0,0,0.01825,0.149802,60,129,162,1,8.9744,0,0,0,0.0435125,0.351266
5,50000,1.85504,-1.25504,2.04023,61,130,164,0,3.811,0,0,0,0.0181672,0.150809,60,129,162,1,8.9559,0,0,0,0.0422453,0.347241
6,60000,1.927,-1.327,2.02136,55,124,162,0,3.8554,0,0,0,0.0153828,0.137059,55,125,162,1,9.0169,0,0,0,0.0361312,0.315839
7,70000,1.9707,-1.3707,2.01412,55,125,160,0,3.8375,0,0,0,0.0143906,0.135341,55,124,159,1,8.9689,0,0,0,0.033675,0.310897
