epoch,time,domain,freq,dyn_power,leak_power,total_power,dyn_energy,leak_energy,total_energy,class0_energy,class1_energy
1,10000,0,1,2.71251,0,2.71251,27125.1,0,27125.1,8167.84,18957.3
2,20000,0,0.5,1.91207,0,1.91207,19120.7,0,19120.7,5747.56,13373.2
3,30000,0,0.65,1.96342,0,1.96342,19634.2,0,19634.2,5918.69,13715.6
4,40000,0,0.65,2.07376,0,2.07376,20737.6,0,20737.6,6157.6,14580
5,50000,0,0.5,2.19602,0,2.19602,21960.2,0,21960.2,6555.22,15405
6,60000,0,0.52,1.88539,0,1.88539,18853.9,0,18853.9,5639.14,13214.8
7,70000,0,0.533333,2.17651,0,2.17651,21765.1,0,21765.1,6519.26,15245.9
8,80000,0,0.525,2.1162,0,2.1162,21162,0,21162,6328.9,14833.1
9,90000,0,0.5,2.23637,0,2.23637,22363.7,0,22363.7,6701.29,15662.4
