epoch,time,domain,freq,dyn_power,leak_power,total_power,dyn_energy,leak_energy,total_energy,class0_energy,class1_energy
1,10000,0,1,0.768033,0,0.768033,7680.33,0,7680.33,2304.85,5375.49
2,20000,0,0.815662,0.766398,0,0.766398,7663.98,0,7663.98,2292.47,5371.51
3,30000,0,0.83415,0.68945,0,0.68945,6894.5,0,6894.5,2059.14,4835.35
4,40000,0,0.84502,0.665812,0,0.665812,6658.12,0,6658.12,1995.28,4662.84
5,50000,0,0.71125,0.658175,0,0.658175,6581.75,0,6581.75,1979.43,4602.31
6,60000,0,0.747108,0.62454,0,0.62454,6245.4,0,6245.4,1938.02,4307.38
7,70000,0,0.631119,0.695065,0,0.695065,6950.65,0,6950.65,2432.9,4517.75
8,80000,0,0.815051,0.857498,0,0.857498,8574.98,0,8574.98,2519.85,6055.14
9,90000,0,0.673926,0.753116,0,0.753116,7531.16,0,7531.16,2291.93,5239.23
10,100000,0,0.846453,0.841838,0,0.841838,8418.38,0,8418.38,2751.21,5667.17
11,110000,0,0.77764,0.857876,0,0.857876,8578.76,0,8578.76,2673.46,5905.3
12,120000,0,0.631568,0.817892,0,0.817892,8178.92,0,8178.92,2638.27,5540.65
13,130000,0,0.983226,0.851043,0,0.851043,8510.43,0,8510.43,2680.13,5830.3
14,140000,0,0.692351,0.853351,0,0.853351,8533.51,0,8533.51,2527.97,6005.54
15,150000,0,0.790625,0.83625,0,0.83625,8362.5,0,8362.5,2577.68,5784.83
16,160000,0,0.748766,0.875084,0,0.875084,8750.84,0,8750.84,3089.23,5661.61
17,170000,0,0.610001,0.868978,0,0.868978,8689.78,0,8689.78,2893.64,5796.15
18,180000,0,0.920996,0.978804,0,0.978804,9788.04,0,9788.04,3077.22,6710.82
19,190000,0,0.628407,0.899333,0,0.899333,8993.33,0,8993.33,2997.14,5996.19
20,200000,0,0.867999,1.00819,0,1.00819,10081.9,0,10081.9,2935.62,7146.32
21,210000,0,0.611132,0.85228,0,0.85228,8522.8,0,8522.8,3101.93,5420.88
22,220000,0,0.889811,1.05948,0,1.05948,10594.8,0,10594.8,3259.28,7335.53
23,230000,0,0.590816,0.921615,0,0.921615,9216.15,0,9216.15,3527.55,5688.6
24,240000,0,0.855111,1.04054,0,1.04054,10405.4,0,10405.4,3422.81,6982.6
25,250000,0,0.591153,0.96968,0,0.96968,9696.8,0,9696.8,3640.95,6055.85
