epoch,time,total_power,headroom,avg_power,class0_p50,class0_p95,class0_p99,class0_qdel_p99,class0_throughput,class0_stall_busy_rate,class0_stall_full_rate,class0_stall_conflict_rate,class0_stall_reserved_rate,class0_stall_xbar_rate,class1_p50,class1_p95,class1_p99,class1_qdel_p99,class1_throughput,class1_stall_busy_rate,class1_stall_full_rate,class1_stall_conflict_rate,class1_stall_reserved_rate,class1_stall_xbar_rate
1,10000,0.768033,0.0319666,0.768033,19,30,37,0,11.5086,0,0,0,0.0092625,1.48762,19,30,37,3,26.8069,0,0,0,0.0221187,3.39899
2,20000,0.766398,0.033602,0.767216,26,27,27,0,0.0005,0,0,0,0,0,19,32,35,1,0.003,0,0,0,0,0
3,30000,0.68945,0.11055,0.741294,0,0,0,0,0.0008,0,0,0,0,0,0,0,0,0,0.0036,0,0,0,0,0
4,40000,0.665812,0.134188,0.722423,33,90,135,0,11.5072,1.875e-05,0,0.00311875,0.211119,3.9399,33,89,134,3,26.8677,3.125e-05,0,0.007275,0.499194,9.05668
5,50000,0.658175,0.141825,0.709573,38,115,183,0,11.5103,3.125e-05,0,0.0044875,0.381875,4.56702,37,114,184,3,26.7921,5e-05,0,0.0150188,0.870231,10.4964
6,60000,0.62454,0.17546,0.695401,78,368,766,56,11.3301,0.759531,0.211781,1.28068,1.22611,7.49132,75,318,601,743,25.2505,0.958806,0.275962,2.12727,2.65841,16.8308
7,70000,0.695065,0.104935,0.695353,176,1069,2008,2405,11.1653,6.31781,1.66686,5.53404,3.16597,5.74228,139,663,1238,4747,20.8554,4.59483,1.76034,6.43784,5.44895,11.7489
8,80000,0.857498,-0.0574981,0.715621,61,588,1285,2217,12.0845,2.60907,0.638737,3.61069,1.89599,5.08341,60,406,716,13028,28.7821,3.15434,1.02442,5.51249,4.1381,13.3397
9,90000,0.753116,0.0468843,0.719787,76,557,1139,437,11.2752,2.17344,0.625038,2.59863,2.21156,5.72362,73,460,796,23462,25.8869,2.43279,1.05068,4.11258,5.17971,13.7991
10,100000,0.841838,-0.0418378,0.731992,87,916,1788,1215,11.2806,6.43798,1.62599,4.50748,2.62281,4.29452,68,562,1103,19590,23.316,5.50574,1.94272,5.79201,5.09152,9.6758
11,110000,0.857876,-0.0578761,0.743436,81,770,1689,2431,11.5676,4.35976,1.1001,3.85241,3.06853,4.95499,72,498,961,37108,25.6065,4.36509,1.29769,5.39619,6.40738,11.92
12,120000,0.817892,-0.0178921,0.749641,70,820,1911,1376,11.2698,5.33198,1.4708,3.61763,2.09388,4.90986,60,524,1035,41377,23.6752,3.90068,1.42486,4.76801,4.17973,10.9722
13,130000,0.851043,-0.0510428,0.757441,105,747,1571,7074,11.7682,3.21056,0.839619,4.11264,3.17613,5.7585,90,553,952,47618,25.5048,3.92406,1.31443,6.18756,6.428,12.8127
14,140000,0.853351,-0.053351,0.764292,54,538,1004,6413,11.9377,1.05858,0.302931,2.26851,2.35516,6.12927,55,457,720,53072,28.199,1.49089,0.573319,3.93097,5.48684,15.1792
15,150000,0.83625,-0.0362504,0.769089,85,645,1316,929,11.1828,3.17043,0.757231,3.26067,2.43912,5.76857,79,511,889,51521,25.2172,3.54889,1.09519,5.00375,5.35119,13.7435
16,160000,0.875084,-0.0750837,0.775714,500,2175,3863,5990,0,0,0,0,0,0,230,944,1701,53501,0,0,0,0,0,0
17,170000,0.868978,-0.0689783,0.7812,0,0,0,0,0,0,0,0,0,0,271,972,1729,63980,0,0,0,0,0,0
18,180000,0.978804,-0.178804,0.792178,0,0,0,0,0,0,0,0,0,0,243,894,1464,98093,0,0,0,0,0,0
19,190000,0.899333,-0.099333,0.797818,0,0,0,0,0,0,0,0,0,0,332,1107,1875,103183,0,0,0,0,0,0
20,200000,1.00819,-0.208193,0.808336,0,0,0,0,0,0,0,0,0,0,223,620,902,109647,0,0,0,0,0,0
21,210000,0.85228,-0.0522803,0.810429,0,0,0,0,0,0,0,0,0,0,392,1234,2331,111860,0,0,0,0,0,0
22,220000,1.05948,-0.259481,0.82175,0,0,0,0,0,0,0,0,0,0,221,745,1266,123777,0,0,0,0,0,0
23,230000,0.921615,-0.121615,0.826092,0,0,0,0,0,0,0,0,0,0,394,1856,2945,126680,0,0,0,0,0,0
24,240000,1.04054,-0.240541,0.835027,0,0,0,0,0,0,0,0,0,0,314,1116,1646,122927,0,0,0,0,0,0
25,250000,0.96968,-0.16968,0.840413,0,0,0,0,0,0,0,0,0,0,345,1437,2302,130031,0,0,0,0,0,0
