epoch,time,domain,freq,dyn_power,leak_power,total_power,dyn_energy,leak_energy,total_energy,class0_energy,class1_energy
1,10000,0,1,0.671601,0,0.671601,6716.01,0,6716.01,2018.46,4697.56
2,20000,0,1,0.601169,0,0.601169,6011.69,0,6011.69,1806.53,4205.16
3,30000,0,1,0.617256,0,0.617256,6172.56,0,6172.56,1863.01,4309.55
4,40000,0,0.756277,0.602102,0,0.602102,6021.02,0,6021.02,1790.86,4230.16
5,50000,0,0.756277,0.617278,0,0.617278,6172.78,0,6172.78,1842.78,4329.99
6,60000,0,0.719672,0.598007,0,0.598007,5980.07,0,5980.07,1789.14,4190.93
