epoch,time,domain,freq,dyn_power,leak_power,total_power,dyn_energy,leak_energy,total_energy,class0_energy,class1_energy
1,10000,0,1,0.71974,0,0.71974,7197.4,0,7197.4,2166.32,5031.08
2,20000,0,1,0.541045,0,0.541045,5410.45,0,5410.45,1625.37,3785.09
3,30000,0,1,0.553944,0,0.553944,5539.44,0,5539.44,1665.48,3873.96
4,40000,0,0.502492,0.51234,0,0.51234,5123.4,0,5123.4,1543.44,3579.96
5,50000,0,0.502492,0.523606,0,0.523606,5236.06,0,5236.06,1572.46,3663.6
6,60000,0,0.944682,0.595762,0,0.595762,5957.62,0,5957.62,1785.31,4172.31
7,70000,0,0.944682,0.608236,0,0.608236,6082.36,0,6082.36,1832.59,4249.77
