epoch,time,domain,freq,dyn_power,leak_power,total_power,dyn_energy,leak_energy,total_energy,class0_energy,class1_energy
1,10000,0,1,0.768033,0,0.768033,7680.33,0,7680.33,2304.85,5375.49
2,20000,0,0.7,0.614107,0,0.614107,6141.07,0,6141.07,1836.86,4304.2
3,30000,0,1,0.667572,0,0.667572,6675.72,0,6675.72,2213.9,4461.83
4,40000,0,0.65,0.600352,0,0.600352,6003.52,0,6003.52,2174.69,3828.83
5,50000,0,1,0.75872,0,0.75872,7587.2,0,7587.2,2543.59,5043.61
6,60000,0,0.516696,0.772906,0,0.772906,7729.06,0,7729.06,3023,4706.07
7,70000,0,1,0.641158,0,0.641158,6411.58,0,6411.58,2802.71,3608.87
8,80000,0,0.68823,0.730128,0,0.730128,7301.28,0,7301.28,2624.85,4676.43
