epoch,time,domain,freq,dyn_power,leak_power,total_power,dyn_energy,leak_energy,total_energy,class0_energy,class1_energy
1,10000,0,1,0.768033,0,0.768033,7680.33,0,7680.33,2304.85,5375.49
2,20000,0,0.731967,0.637892,0,0.637892,6378.92,0,6378.92,1908.12,4470.8
3,30000,0,1,0.670682,0,0.670682,6706.82,0,6706.82,2300.2,4406.62
4,40000,0,0.746988,0.709178,0,0.709178,7091.78,0,7091.78,2256.32,4835.46
5,50000,0,0.69146,0.664201,0,0.664201,6642.01,0,6642.01,2584.09,4057.92
6,60000,0,1,0.874112,0,0.874112,8741.12,0,8741.12,2539.06,6202.06
7,70000,0,0.5275,0.72286,0,0.72286,7228.6,0,7228.6,2859.94,4368.66
8,80000,0,1,0.848841,0,0.848841,8488.41,0,8488.41,2867.2,5621.22
9,90000,0,0.601906,0.742494,0,0.742494,7424.94,0,7424.94,3030.47,4394.47
10,100000,0,1,0.804735,0,0.804735,8047.35,0,8047.35,2866.87,5180.47
11,110000,0,0.636045,0.870639,0,0.870639,8706.39,0,8706.39,3008.22,5698.17
12,120000,0,1,0.87399,0,0.87399,8739.9,0,8739.9,3174.82,5565.09
