epoch,time,total_power,headroom,avg_power,class0_p50,class0_p95,class0_p99,class0_qdel_p99,class0_throughput,class0_stall_busy_rate,class0_stall_full_rate,class0_stall_conflict_rate,class0_stall_reserved_rate,class0_stall_xbar_rate,class1_p50,class1_p95,class1_p99,class1_qdel_p99,class1_throughput,class1_stall_busy_rate,class1_stall_full_rate,class1_stall_conflict_rate,class1_stall_reserved_rate,class1_stall_xbar_rate
1,10000,0.768033,-0.168033,0.768033,19,30,37,0,11.5086,0,0,0,0.0092625,1.48762,19,30,37,3,26.8069,0,0,0,0.0221187,3.39899
2,20000,0.637892,-0.0378921,0.702963,38,66,66,0,0.002,0,0,0,0,0,34,71,83,3,0.0033,0,0,0,0,0
3,30000,0.670682,-0.0706823,0.692203,0,0,0,0,0.0008,0,0,0,0,0,0,0,0,0,0.0021,0,0,0,0,0
4,40000,0.709178,-0.109178,0.696446,125,766,1627,2016,12.0087,4.51589,1.03694,5.07578,1.82133,6.29214,111,474,919,10663,25.5653,3.96212,1.23647,5.95258,3.40496,14.8918
5,50000,0.664201,-0.0642006,0.689997,258,1294,2345,1878,10.725,9.89964,2.38115,6.73711,3.1859,4.92727,219,786,1348,14268,17.036,5.59879,2.49813,6.07129,4.93832,8.93421
6,60000,0.874112,-0.274112,0.720683,97,805,2234,6819,12.1478,6.3479,1.08328,6.14522,1.87744,5.50056,78,455,846,22407,29.3049,5.57551,1.60379,7.18566,3.68659,15.4696
7,70000,0.72286,-0.12286,0.720994,244,1372,2634,12656,10.5008,11.7078,3.18419,6.87849,2.52165,4.45069,201,777,1366,22037,16.2404,6.36916,3.22452,6.01085,3.6425,7.80108
8,80000,0.848841,-0.248841,0.736975,155,1124,2261,15263,12.0745,8.73776,2.21172,6.84986,2.34883,5.14932,111,564,1057,33315,23.4744,6.02328,2.39274,6.8886,3.85171,11.4808
9,90000,0.742494,-0.142494,0.737588,237,1466,2572,15557,10.9239,11.7247,3.03034,7.68319,2.50694,4.44809,177,855,1468,40444,15.9631,6.23456,2.90889,5.89771,3.2795,7.6663
10,100000,0.804735,-0.204735,0.744303,206,1161,2161,16894,11.8801,7.96861,2.04228,6.90642,2.92148,5.93778,167,635,1135,49845,21.3469,5.32151,2.14684,7.30947,4.74397,11.8026
11,110000,0.870639,-0.270639,0.755788,173,1142,2085,17575,11.4318,9.52858,2.56239,7.23809,2.24567,4.74283,133,628,1119,57275,21.673,6.52809,3.06731,7.53512,3.84057,10.0818
12,120000,0.87399,-0.27399,0.765638,180,1330,2485,17562,11.0466,11.0004,2.49596,7.30159,2.63375,4.21825,135,723,1340,64153,19.3519,6.96007,2.9317,6.32132,4.36322,8.48356
