epoch,time,total_power,headroom,avg_power,class0_p50,class0_p95,class0_p99,class0_qdel_p99,class0_throughput,class0_stall_busy_rate,class0_stall_full_rate,class0_stall_conflict_rate,class0_stall_reserved_rate,class0_stall_xbar_rate,class1_p50,class1_p95,class1_p99,class1_qdel_p99,class1_throughput,class1_stall_busy_rate,class1_stall_full_rate,class1_stall_conflict_rate,class1_stall_reserved_rate,class1_stall_xbar_rate
1,10000,2.92989,-1.92989,2.92989,36,71,88,0,7.661,0,0,0,0.00702812,0.422853,36,71,89,2,17.8009,0,0,0,0.0158781,0.960405
2,20000,2.1213,-1.1213,2.5256,974,2464,2464,0,0.0008,0,0,0,0,0,609,1419,1419,1869,0.0008,0,0,0,0,0
3,30000,2.82866,-1.82866,2.62662,0,0,0,0,0.0008,0,0,0,0,0,0,0,0,0,0.0012,0,0,0,0,0
4,40000,2.34252,-1.34252,2.55559,596,2375,3392,8334,8.0099,0.999387,2.18669,1.93483,3.50792,2.20844,439,1610,2329,19103,14.0301,0.71018,1.4861,2.14532,5.11083,3.82084
5,50000,2.96918,-1.96918,2.63831,540,2322,3611,6232,7.3343,1.76386,2.83063,1.43981,3.82606,1.52131,474,1638,2673,25816,16.531,2.0327,3.21756,2.60175,8.43239,3.53184
6,60000,2.96724,-1.96724,2.69313,621,3227,6857,4931,7.2038,2.5301,4.37772,1.59341,3.56615,1.47287,490,1858,3673,39507,13.9696,2.546,3.83365,2.31506,6.17291,2.97638
