epoch,time,domain,freq,dyn_power,leak_power,total_power,dyn_energy,leak_energy,total_energy,class0_energy,class1_energy
1,10000,0,1,0.671601,0,0.671601,6716.01,0,6716.01,2018.46,4697.56
2,20000,0,1,0.52661,0,0.52661,5266.1,0,5266.1,1582.48,3683.62
3,30000,0,1,0.540509,0,0.540509,5405.09,0,5405.09,1631.35,3773.75
4,40000,0,0.5,0.454063,0,0.454063,4540.63,0,4540.63,1350.47,3190.15
5,50000,0,0.5,0.46514,0,0.46514,4651.4,0,4651.4,1388.69,3262.71
6,60000,0,0.894373,0.506354,0,0.506354,5063.54,0,5063.54,1514.94,3548.6
7,70000,0,0.894373,0.518134,0,0.518134,5181.34,0,5181.34,1553.62,3627.72
