epoch,time,total_power,headroom,avg_power,class0_p50,class0_p95,class0_p99,class0_qdel_p99,class0_throughput,class0_stall_busy_rate,class0_stall_full_rate,class0_stall_conflict_rate,class0_stall_reserved_rate,class0_stall_xbar_rate,class1_p50,class1_p95,class1_p99,class1_qdel_p99,class1_throughput,class1_stall_busy_rate,class1_stall_full_rate,class1_stall_conflict_rate,class1_stall_reserved_rate,class1_stall_xbar_rate
1,10000,0.71974,-0.21974,0.71974,17,24,27,0,7.6765,0,0,0,0.00023125,0.430063,17,24,27,2,17.8324,0,0,0,0.0006625,0.971275
2,20000,0.606453,-0.106453,0.663097,20,20,20,0,0.0003,0,0,0,0,0,20,26,26,1,0.002,0,0,0,0,0
3,30000,0.552281,-0.0522806,0.626158,0,0,0,0,0.0016,0,0,0,0,0,0,0,0,0,0.0015,0,0,0,0,0
4,40000,0.528592,-0.0285922,0.601767,27,48,63,0,7.7058,0,0,0,0.00574375,1.17934,27,48,62,2,17.9019,0,0,0,0.0118125,2.67964
5,50000,0.511702,-0.0117021,0.583754,29,57,77,0,7.664,0,0,0,0.0132187,1.38728,29,57,76,2,17.8497,0,0,0,0.0291063,3.19364
6,60000,0.514929,-0.0149291,0.572283,31,64,88,0,7.6921,0,0,0,0.0219062,1.53459,31,64,86,2,17.9846,0,0,8.75e-05,0.049075,3.52407
7,70000,0.502541,-0.00254106,0.56232,34,74,101,0,7.6843,0,0,0,0.0275938,1.78466,34,73,100,2,17.8536,0,0,0,0.0629625,4.06531
8,80000,0.505368,-0.00536765,0.555201,36,79,111,0,7.6626,0,0,0,0.0292938,1.89928,36,79,110,2,17.8512,0,0,3.75e-05,0.074425,4.35739
9,90000,0.516805,-0.0168052,0.550935,36,81,113,0,7.7452,0,0,1.25e-05,0.0361187,1.93968,36,81,114,2,17.9405,0,0,5.625e-05,0.082225,4.45217
10,100000,0.527868,-0.0278675,0.548628,35,77,108,0,7.6672,0,0,0,0.0316375,1.85163,35,77,107,2,17.8853,0,0,6.25e-06,0.0728063,4.25521
