epoch,time,total_power,headroom,avg_power,class0_p50,class0_p95,class0_p99,class0_qdel_p99,class0_throughput,class0_stall_busy_rate,class0_stall_full_rate,class0_stall_conflict_rate,class0_stall_reserved_rate,class0_stall_xbar_rate,class1_p50,class1_p95,class1_p99,class1_qdel_p99,class1_throughput,class1_stall_busy_rate,class1_stall_full_rate,class1_stall_conflict_rate,class1_stall_reserved_rate,class1_stall_xbar_rate
1,10000,0.768033,0.231967,0.768033,19,30,37,0,11.5086,0,0,0,0.0092625,1.48762,19,30,37,3,26.8069,0,0,0,0.0221187,3.39899
2,20000,0.766398,0.233602,0.767216,26,27,27,0,0.0005,0,0,0,0,0,19,32,35,1,0.003,0,0,0,0,0
3,30000,0.68945,0.31055,0.741294,0,0,0,0,0.0008,0,0,0,0,0,0,0,0,0,0.0036,0,0,0,0,0
4,40000,0.665812,0.334188,0.722423,33,90,135,0,11.5072,1.875e-05,0,0.00311875,0.211119,3.9399,33,89,134,3,26.8677,3.125e-05,0,0.007275,0.499194,9.05668
5,50000,0.658175,0.341825,0.709573,38,115,183,0,11.5103,3.125e-05,0,0.0044875,0.381875,4.56702,37,114,184,3,26.7921,5e-05,0,0.0150188,0.870231,10.4964
6,60000,0.62454,0.37546,0.695401,78,368,766,56,11.3301,0.759531,0.211781,1.28068,1.22611,7.49132,75,318,601,743,25.2505,0.958806,0.275962,2.12727,2.65841,16.8308
7,70000,0.695065,0.304935,0.695353,176,1069,2008,2405,11.1653,6.31781,1.66686,5.53404,3.16597,5.74228,139,663,1238,4747,20.8554,4.59483,1.76034,6.43784,5.44895,11.7489
8,80000,0.857498,0.142502,0.715621,61,588,1285,2217,12.0845,2.60907,0.638737,3.61069,1.89599,5.08341,60,406,716,13028,28.7821,3.15434,1.02442,5.51249,4.1381,13.3397
9,90000,0.783523,0.216477,0.723166,53,481,926,212,11.3798,1.84286,0.568506,2.25407,1.84421,5.16726,54,405,699,24421,26.6755,2.37294,0.966475,3.90125,4.25256,12.7248
10,100000,0.814766,0.185234,0.732326,94,943,1848,1834,11.3547,5.49256,1.52473,4.33109,2.44883,4.64257,72,552,1173,25842,22.7518,5.39391,1.94813,5.41187,4.68204,9.77192
11,110000,0.859716,0.140284,0.743907,84,805,1550,2241,11.6673,4.8052,1.24602,4.54791,2.66178,4.87276,70,520,964,33834,24.9816,4.81319,1.72907,5.94292,5.45412,11.0818
12,120000,0.832524,0.167476,0.751292,145,979,1834,1907,11.1872,6.72274,1.55349,5.37908,3.29935,5.15399,123,642,1146,36452,22.3995,5.88384,1.9917,6.60804,6.17686,11.3245
13,130000,0.876739,0.123261,0.760941,124,946,1795,3811,11.4934,6.29034,1.64019,5.25301,2.38116,5.00378,102,590,1112,34522,23.6523,5.63805,2.07379,6.56919,4.42586,11.4972
14,140000,0.891922,0.108078,0.770297,105,962,2201,2306,11.6661,5.84656,1.4431,4.91091,2.65342,5.23653,88,545,1064,56802,24.2263,4.68279,1.58584,5.90631,5.43625,11.9151
15,150000,0.938636,0.0613642,0.78152,52,641,1257,8374,11.7402,3.53087,0.926087,3.407,1.91378,4.72967,49,456,848,63200,26.7288,4.09099,1.47387,5.15968,4.00868,11.6061
16,160000,0.9226,0.0774,0.790337,426,2207,4445,8809,0,0,0,0,0,0,204,599,903,65899,0,0,0,0,0,0
17,170000,0.871101,0.128899,0.795088,3808,3950,3950,7067,0,0,0,0,0,0,245,768,1470,65903,0,0,0,0,0,0
18,180000,0.94718,0.0528202,0.803538,0,0,0,0,0,0,0,0,0,0,287,1340,2883,73198,0,0,0,0,0,0
19,190000,0.971654,0.0283465,0.812386,0,0,0,0,0,0,0,0,0,0,223,859,1817,87301,0,0,0,0,0,0
20,200000,0.944273,0.0557268,0.81898,0,0,0,0,0,0,0,0,0,0,278,835,1864,90017,0,0,0,0,0,0
21,210000,1.00858,-0.00857766,0.828009,0,0,0,0,0,0,0,0,0,0,323,1251,2657,93097,0,0,0,0,0,0
22,220000,1.03205,-0.032048,0.837283,0,0,0,0,0,0,0,0,0,0,275,863,1448,107046,0,0,0,0,0,0
23,230000,1.0245,-0.0244969,0.845423,0,0,0,0,0,0,0,0,0,0,243,861,1716,107962,0,0,0,0,0,0
24,240000,1.07292,-0.0729238,0.854902,0,0,0,0,0,0,0,0,0,0,323,975,1942,126523,0,0,0,0,0,0
25,250000,1.03023,-0.0302343,0.861915,0,0,0,0,0,0,0,0,0,0,292,1051,4171,132445,0,0,0,0,0,0
