epoch,time,domain,freq,dyn_power,leak_power,total_power,dyn_energy,leak_energy,total_energy,class0_energy,class1_energy
1,10000,0,1,0.768033,0,0.768033,7680.33,0,7680.33,2304.85,5375.49
2,20000,0,0.769643,0.722548,0,0.722548,7225.48,0,7225.48,2161.28,5064.2
3,30000,0,0.785094,0.644672,0,0.644672,6446.72,0,6446.72,1925.48,4521.24
4,40000,0,0.800453,0.661241,0,0.661241,6612.41,0,6612.41,1981.58,4630.84
5,50000,0,0.667167,0.632642,0,0.632642,6326.42,0,6326.42,1899.99,4426.43
6,60000,0,0.760289,0.631315,0,0.631315,6313.15,0,6313.15,2114.73,4198.41
7,70000,0,0.726819,0.753021,0,0.753021,7530.21,0,7530.21,2351.13,5179.08
8,80000,0,0.622089,0.71327,0,0.71327,7132.7,0,7132.7,2401.21,4731.5
9,90000,0,0.794222,0.819808,0,0.819808,8198.08,0,8198.08,2738.35,5459.73
10,100000,0,0.606946,0.747819,0,0.747819,7478.19,0,7478.19,2687.85,4790.34
11,110000,0,0.942702,0.835599,0,0.835599,8355.99,0,8355.99,2815.89,5540.1
12,120000,0,0.682958,0.787176,0,0.787176,7871.76,0,7871.76,2698.29,5173.47
13,130000,0,0.63131,0.857122,0,0.857122,8571.22,0,8571.22,2769.79,5801.43
14,140000,0,0.9,0.815343,0,0.815343,8153.43,0,8153.43,2874.13,5279.3
15,150000,0,0.634315,0.883927,0,0.883927,8839.27,0,8839.27,2862.88,5976.4
16,160000,0,0.886992,0.828544,0,0.828544,8285.44,0,8285.44,3001.31,5284.13
17,170000,0,0.63093,0.874185,0,0.874185,8741.85,0,8741.85,3020.94,5720.9
18,180000,0,0.9,0.894285,0,0.894285,8942.85,0,8942.85,3095.54,5847.31
19,190000,0,0.658924,0.913283,0,0.913283,9132.83,0,9132.83,3278.42,5854.4
20,200000,0,0.838492,0.940736,0,0.940736,9407.36,0,9407.36,3269.86,6137.5
