epoch,time,total_power,headroom,avg_power,class0_p50,class0_p95,class0_p99,class0_qdel_p99,class0_throughput,class0_stall_busy_rate,class0_stall_full_rate,class0_stall_conflict_rate,class0_stall_reserved_rate,class0_stall_xbar_rate,class1_p50,class1_p95,class1_p99,class1_qdel_p99,class1_throughput,class1_stall_busy_rate,class1_stall_full_rate,class1_stall_conflict_rate,class1_stall_reserved_rate,class1_stall_xbar_rate
1,10000,0.768033,-0.0680334,0.768033,19,30,37,0,11.5086,0,0,0,0.0092625,1.48762,19,30,37,3,26.8069,0,0,0,0.0221187,3.39899
2,20000,0.722548,-0.0225477,0.745291,21,44,44,0,0.0013,0,0,0,0,0,24,46,46,1,0.0018,0,0,0,0,0
3,30000,0.644672,0.0553276,0.711751,0,0,0,0,0.0008,0,0,0,0,0,0,0,0,0,0.0032,0,0,0,0,0
4,40000,0.661241,0.0387586,0.699124,35,115,217,0,11.5158,0.00119375,0,0.018025,0.465494,4.11709,34,115,216,3,26.8875,0.00235625,0,0.0368625,1.10536,9.53524
5,50000,0.632642,0.0673579,0.685827,56,207,316,0,11.4807,0.0018,4.375e-05,0.101244,1.03506,6.53764,55,205,315,3,26.7164,0.0043375,4.375e-05,0.260331,2.39921,15.135
6,60000,0.631315,0.0686855,0.676742,109,792,1635,1176,11.0576,3.21616,0.854313,3.45014,1.98959,6.00788,94,514,1050,2798,22.1688,2.89417,0.976056,3.99229,3.67531,12.5763
7,70000,0.753021,-0.0530214,0.687639,121,776,1440,1706,11.9027,3.45236,0.804594,4.05263,2.27018,6.38283,108,510,980,9202,26.0696,3.67701,1.02868,5.64219,4.49643,14.9501
8,80000,0.71327,-0.0132705,0.690843,162,988,1925,1620,11.0931,5.82346,1.45703,5.0295,2.87424,5.97279,137,624,1164,12672,21.9881,4.69323,1.67241,6.25459,5.55826,12.868
9,90000,0.819808,-0.119808,0.705172,130,964,1858,2146,11.3403,7.20811,1.69116,5.62981,2.68269,4.57434,101,648,1157,18447,22.6353,7.06504,2.32477,6.94106,5.08835,10.0831
10,100000,0.747819,-0.0478185,0.709437,174,1182,2380,5137,11.5348,7.21805,1.87907,6.02237,2.35037,5.57117,136,654,1247,30272,20.5643,4.53873,1.75864,6.13451,3.82365,10.9832
11,110000,0.835599,-0.135599,0.720906,148,1032,1922,7042,11.6594,6.71989,1.67864,6.08336,2.6454,5.14461,118,624,1130,37484,22.8747,5.66616,1.89291,6.82079,4.64376,11.2255
12,120000,0.787176,-0.087176,0.726429,177,1011,1766,8392,11.4762,5.80438,1.49431,5.81063,2.77627,5.89768,146,649,1116,45466,22.0508,4.93363,1.73424,7.10011,4.80511,12.3119
13,130000,0.857122,-0.157122,0.736482,137,928,1962,3719,11.5369,5.44815,1.42659,5.69436,2.3586,5.29532,115,575,1020,48005,24.0984,4.8164,1.95636,6.70556,4.60034,12.1432
14,140000,0.815343,-0.115343,0.742115,201,1079,2017,12262,11.3098,6.86223,1.59104,6.08428,3.6997,5.48084,165,697,1225,58623,20.8403,5.34776,1.64498,7.24407,6.20658,11.2628
15,150000,0.883927,-0.183927,0.751569,148,959,1783,16003,11.6241,5.72133,1.43521,5.65564,2.18888,5.67505,124,566,1018,57760,24.2437,4.74441,1.66732,6.96531,4.04684,13.1891
16,160000,0.828544,-0.128544,0.75638,476,2315,3702,20610,0,0,0,0,0,0,241,971,1638,77386,0,0,0,0,0,0
17,170000,0.874185,-0.174185,0.76331,579,3149,4238,21088,0,0,0,0,0,0,243,1007,1752,91138,0,0,0,0,0,0
18,180000,0.894285,-0.194285,0.770586,570,1332,2301,20927,0,0,0,0,0,0,255,913,1555,94316,0,0,0,0,0,0
19,190000,0.913283,-0.213283,0.778096,0,0,0,0,0,0,0,0,0,0,280,1162,1899,102314,0,0,0,0,0,0
20,200000,0.940736,-0.240736,0.786228,0,0,0,0,0,0,0,0,0,0,282,1046,1753,111695,0,0,0,0,0,0
