epoch,time,domain,freq,dyn_power,leak_power,total_power,dyn_energy,leak_energy,total_energy,class0_energy,class1_energy
1,10000,0,1,0.71974,0,0.71974,7197.4,0,7197.4,2166.32,5031.08
2,20000,0,1,0.738863,0,0.738863,7388.63,0,7388.63,2219.53,5169.1
3,30000,0,1,0.757529,0,0.757529,7575.29,0,7575.29,2277.53,5297.76
4,40000,0,1,0.776614,0,0.776614,7766.14,0,7766.14,2340.11,5426.03
5,50000,0,1,0.795057,0,0.795057,7950.57,0,7950.57,2387.2,5563.38
6,60000,0,1,0.814601,0,0.814601,8146.01,0,8146.01,2441.13,5704.88
