epoch,time,total_power,headroom,avg_power,class0_p50,class0_p95,class0_p99,class0_qdel_p99,class0_throughput,class0_stall_busy_rate,class0_stall_full_rate,class0_stall_conflict_rate,class0_stall_reserved_rate,class0_stall_xbar_rate,class1_p50,class1_p95,class1_p99,class1_qdel_p99,class1_throughput,class1_stall_busy_rate,class1_stall_full_rate,class1_stall_conflict_rate,class1_stall_reserved_rate,class1_stall_xbar_rate
1,10000,2.71251,-2.31251,2.71251,27,48,56,0,3.8389,0,0,0,0,0.0427734,27,47,56,1,8.9344,0,0,0,0,0.0976484
2,20000,1.50249,-1.10249,2.1075,49,85,85,0,0.001,0,0,0,0,0,50,158,158,0,0.0018,0,0,0,0,0
3,30000,1.53976,-1.13976,1.91826,0,0,0,0,0.0007,0,0,0,0,0,0,0,0,0,0.0019,0,0,0,0,0
4,40000,1.57859,-1.17859,1.83334,59,127,163,0,3.8129,0,0,0,0.00279687,0.210367,59,127,163,1,8.9877,0,0,0,0.00719219,0.495052
5,50000,1.61595,-1.21595,1.78986,59,128,165,0,3.8124,0,0,0,0.00295313,0.212156,59,128,167,1,8.9558,0,0,0,0.0070375,0.491553
6,60000,1.65495,-1.25495,1.76738,60,130,168,0,3.8524,0,0,0,0.00309687,0.219422,60,129,169,1,9.0126,0,0,0,0.00779844,0.505214
