epoch,time,total_power,headroom,avg_power,class0_p50,class0_p95,class0_p99,class0_qdel_p99,class0_throughput,class0_stall_busy_rate,class0_stall_full_rate,class0_stall_conflict_rate,class0_stall_reserved_rate,class0_stall_xbar_rate,class1_p50,class1_p95,class1_p99,class1_qdel_p99,class1_throughput,class1_stall_busy_rate,class1_stall_full_rate,class1_stall_conflict_rate,class1_stall_reserved_rate,class1_stall_xbar_rate
1,10000,0.768033,-0.268033,0.768033,19,30,37,0,11.5086,0,0,0,0.0092625,1.48762,19,30,37,3,26.8069,0,0,0,0.0221187,3.39899
2,20000,0.694196,-0.194196,0.731115,27,42,42,0,0.0009,0,0,0,0,0,23,63,71,2,0.0033,0,0,0,0,0
3,30000,0.532581,-0.0325811,0.664937,0,0,0,0,0.0015,0,0,0,0,0,0,0,0,0,0.0012,0,0,0,0,0
4,40000,0.691745,-0.191745,0.671639,181,967,1794,3125,11.7087,6.93814,1.81155,6.18883,2.36455,6.04643,151,595,1057,10296,22.1284,4.90062,1.87118,6.64379,4.13542,12.7282
5,50000,0.676426,-0.176426,0.672596,224,1251,2298,5908,11.392,8.38712,2.52007,6.70688,3.78671,5.68687,176,730,1339,19037,19.5975,5.71597,2.09241,7.0704,5.41985,10.9508
6,60000,0.700992,-0.200992,0.677329,216,1300,2283,6478,11.0892,9.95373,2.58956,7.11253,2.10724,4.9583,169,730,1314,20799,18.4048,5.93802,2.46144,6.72912,3.15275,9.36932
7,70000,0.758548,-0.258548,0.688932,173,1185,2170,9815,11.9666,8.18102,2.05062,6.68964,2.22622,5.51414,124,586,1092,34912,21.8127,5.11533,1.82903,6.23044,3.28634,11.4353
8,80000,0.722668,-0.222668,0.693149,196,1183,2044,10092,11.257,8.21759,2.11377,6.50551,2.37719,5.35917,152,683,1182,40125,19.7296,5.05952,2.10693,6.29154,3.82464,10.5415
9,90000,0.772397,-0.272397,0.701954,168,1143,2247,12373,11.2668,8.17434,1.95854,6.10403,2.44419,4.95397,128,653,1212,49800,21.006,5.84878,2.02316,6.18192,4.04663,10.3524
