epoch,time,total_power,headroom,avg_power,class0_p50,class0_p95,class0_p99,class0_qdel_p99,class0_throughput,class0_stall_busy_rate,class0_stall_full_rate,class0_stall_conflict_rate,class0_stall_reserved_rate,class0_stall_xbar_rate,class1_p50,class1_p95,class1_p99,class1_qdel_p99,class1_throughput,class1_stall_busy_rate,class1_stall_full_rate,class1_stall_conflict_rate,class1_stall_reserved_rate,class1_stall_xbar_rate
1,10000,0.71974,0.28026,0.71974,17,24,27,0,7.6765,0,0,0,0.00023125,0.430063,17,24,27,2,17.8324,0,0,0,0.0006625,0.971275
2,20000,0.686681,0.313319,0.703211,13,26,26,0,0.0006,0,0,0,0,0,16,22,22,1,0.0019,0,0,0,0,0
3,30000,0.732742,0.267258,0.713054,0,0,0,0,0.0009,0,0,0,0,0,0,0,0,0,0.0023,0,0,0,0,0
4,40000,0.712868,0.287132,0.713008,19,27,31,0,7.7111,0,0,0,0.00075625,0.5336,19,27,31,2,17.9053,0,0,0,0.00145,1.2171
5,50000,0.751386,0.248614,0.720683,18,26,30,0,7.6635,0,0,0,0.00035,0.49155,18,26,30,2,17.8532,0,0,0,0.00096875,1.11694
6,60000,0.801154,0.198846,0.734095,18,25,28,0,7.6941,0,0,0,0.00028125,0.456163,18,24,28,2,17.9925,0,0,0,0.000875,1.03314
7,70000,0.800666,0.199334,0.743605,18,26,30,0,7.6869,0,0,0,0.00064375,0.474712,18,25,29,2,17.8595,0,0,0,0.0018,1.06408
