epoch,time,total_power,headroom,avg_power,class0_p50,class0_p95,class0_p99,class0_qdel_p99,class0_throughput,class0_stall_busy_rate,class0_stall_full_rate,class0_stall_conflict_rate,class0_stall_reserved_rate,class0_stall_xbar_rate,class1_p50,class1_p95,class1_p99,class1_qdel_p99,class1_throughput,class1_stall_busy_rate,class1_stall_full_rate,class1_stall_conflict_rate,class1_stall_reserved_rate,class1_stall_xbar_rate
1,10000,0.768033,-0.0680334,0.768033,19,30,37,0,11.5086,0,0,0,0.0092625,1.48762,19,30,37,3,26.8069,0,0,0,0.0221187,3.39899
2,20000,0.719427,-0.0194266,0.74373,21,33,33,0,0.0013,0,0,0,0,0,23,35,36,2,0.0032,0,0,0,0,0
3,30000,0.756365,-0.0563648,0.747942,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0.0035,0,0,0,0,0
4,40000,0.727865,-0.0278652,0.742923,25,52,76,0,11.5152,0,0,3.75e-05,0.0769,2.46523,25,51,75,3,26.8875,0,0,0.0001625,0.18665,5.65621
5,50000,0.688538,0.0114624,0.732046,71,729,1522,526,10.8338,3.96223,1.01874,2.91138,2.11903,4.41779,63,499,1028,1605,22.3323,3.93023,1.28179,3.83018,4.18399,9.33161
6,60000,0.636609,0.0633906,0.71614,257,1326,2452,2934,11.3742,8.43522,2.24761,7.2616,2.72023,5.62524,207,827,1435,8114,16.6076,5.50861,2.00523,6.39854,3.61516,9.33966
7,70000,0.827551,-0.127551,0.732055,155,1124,2020,4755,11.6133,9.22067,2.22076,6.76112,2.31118,4.84278,119,585,1067,14862,23.2684,6.24841,2.47383,7.11616,4.11214,11.145
8,80000,0.757736,-0.0577362,0.735266,223,1394,2413,6945,11.0757,11.4957,3.01424,7.55853,2.34426,4.35547,166,771,1323,21622,16.8722,6.39516,3.19124,6.15481,3.27177,7.50759
9,90000,0.864394,-0.164394,0.749613,157,1116,2262,10048,11.7358,8.52524,2.10552,6.79366,2.48758,5.01891,119,585,1068,33990,23.6884,6.38682,2.50939,7.31217,4.50672,11.4941
10,100000,0.807724,-0.107724,0.755424,204,1417,2582,11677,10.9346,12.0116,3.1528,7.51189,2.43701,4.09061,155,766,1421,37668,17.2554,6.81665,3.30782,6.33318,3.72193,7.42259
11,110000,0.754596,-0.0545964,0.755349,219,1131,2134,12293,12.1062,5.88756,1.50521,6.69313,2.52941,7.07525,178,672,1190,55152,20.6115,4.63472,1.78349,6.73505,4.02477,12.9073
12,120000,0.893894,-0.193894,0.766894,167,1188,2250,9801,11.3605,10.0724,2.73508,6.93059,2.09797,4.47243,125,625,1131,53971,21.4071,6.62943,3.04194,7.04549,3.45046,9.62661
13,130000,0.898921,-0.198921,0.77705,171,1118,2053,11195,11.4385,9.14629,2.27521,6.85401,2.45187,4.65486,128,643,1137,64786,21.2538,6.41247,2.82201,7.1707,4.11394,9.62912
14,140000,0.932207,-0.232207,0.788133,181,1292,2316,11643,11.3468,11.8531,3.25688,7.13985,2.59146,4.24067,129,717,1308,70964,19.5225,7.95099,3.15542,6.75372,3.92372,8.38526
