epoch,time,domain,freq,dyn_power,leak_power,total_power,dyn_energy,leak_energy,total_energy,class0_energy,class1_energy
1,10000,0,1,0.768033,0,0.768033,7680.33,0,7680.33,2304.85,5375.49
2,20000,0,0.841686,0.719427,0,0.719427,7194.27,0,7194.27,2151.88,5042.39
3,30000,0,0.979186,0.756365,0,0.756365,7563.65,0,7563.65,2259.13,5304.51
4,40000,0,0.851687,0.727865,0,0.727865,7278.65,0,7278.65,2181.22,5097.43
5,50000,0,1,0.688538,0,0.688538,6885.38,0,6885.38,2263.39,4621.98
6,60000,0,0.580071,0.636609,0,0.636609,6366.09,0,6366.09,2590.07,3776.02
7,70000,0,1,0.827551,0,0.827551,8275.51,0,8275.51,2746.24,5529.27
8,80000,0,0.513587,0.757736,0,0.757736,7577.36,0,7577.36,3011.04,4566.32
9,90000,0,1,0.864394,0,0.864394,8643.94,0,8643.94,2855.35,5788.59
10,100000,0,0.518414,0.807724,0,0.807724,8077.24,0,8077.24,3150.21,4927.03
11,110000,0,1,0.754596,0,0.754596,7545.96,0,7545.96,2781.54,4764.43
12,120000,0,0.70638,0.893894,0,0.893894,8938.94,0,8938.94,3100.76,5838.18
13,130000,0,1,0.898921,0,0.898921,8989.21,0,8989.21,3148.05,5841.16
14,140000,0,0.745723,0.932207,0,0.932207,9322.07,0,9322.07,3428.36,5893.71
