epoch,time,domain,freq,dyn_power,leak_power,total_power,dyn_energy,leak_energy,total_energy,class0_energy,class1_energy
1,10000,0,1,0.71974,0,0.71974,7197.4,0,7197.4,2166.32,5031.08
2,20000,0,1,0.541045,0,0.541045,5410.45,0,5410.45,1625.37,3785.09
3,30000,0,1,0.553944,0,0.553944,5539.44,0,5539.44,1665.48,3873.96
4,40000,0,0.5,0.511017,0,0.511017,5110.17,0,5110.17,1539.54,3570.63
5,50000,0,0.5,0.522225,0,0.522225,5222.25,0,5222.25,1568.16,3654.09
6,60000,0,0.715243,0.549124,0,0.549124,5491.24,0,5491.24,1645.56,3845.68
7,70000,0,0.715243,0.560384,0,0.560384,5603.84,0,5603.84,1688.39,3915.45
