epoch,time,total_power,headroom,avg_power,class0_p50,class0_p95,class0_p99,class0_qdel_p99,class0_throughput,class0_stall_busy_rate,class0_stall_full_rate,class0_stall_conflict_rate,class0_stall_reserved_rate,class0_stall_xbar_rate,class1_p50,class1_p95,class1_p99,class1_qdel_p99,class1_throughput,class1_stall_busy_rate,class1_stall_full_rate,class1_stall_conflict_rate,class1_stall_reserved_rate,class1_stall_xbar_rate
1,10000,2.71251,-2.21251,2.71251,27,48,56,0,3.8389,0,0,0,0,0.0427734,27,47,56,1,8.9344,0,0,0,0,0.0976484
2,20000,1.91207,-1.41207,2.31229,33,33,33,0,0.0001,0,0,0,0,0,51,71,71,0,0.0014,0,0,0,0,0
3,30000,1.96342,-1.46342,2.196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004,0,0,0,0,0
4,40000,2.07376,-1.57376,2.16544,38,71,84,0,3.8156,0,0,0,3.4375e-05,0.0887984,39,71,85,1,8.9934,0,0,0,8.28125e-05,0.203584
5,50000,2.19602,-1.69602,2.17156,42,91,118,0,3.8088,0,0,0,0.00610469,0.0874078,42,90,116,1,8.9466,0,0,0,0.0142531,0.201311
6,60000,1.88539,-1.38539,2.12386,52,105,132,0,3.8475,0,0,0,0.00721719,0.138698,52,105,132,1,9.0048,0,0,0,0.0167297,0.319275
7,70000,2.17651,-1.67651,2.13139,45,98,128,0,3.8405,0,0,0,0.00911563,0.0972563,45,98,127,1,8.9738,0,0,0,0.0218641,0.225325
8,80000,2.1162,-1.6162,2.12949,51,105,129,0,3.821,0,0,0,0.00931875,0.121359,51,105,130,1,8.9593,0,0,0,0.0221438,0.280725
9,90000,2.23637,-1.73637,2.14136,47,101,128,0,3.8338,0,0,0,0.0104859,0.106389,47,101,128,1,8.9801,0,0,0,0.0249219,0.245094
