epoch,time,domain,freq,dyn_power,leak_power,total_power,dyn_energy,leak_energy,total_energy,class0_energy,class1_energy
1,10000,0,1,0.768033,0,0.768033,7680.33,0,7680.33,2304.85,5375.49
2,20000,0,1,0.786834,0,0.786834,7868.34,0,7868.34,2353.53,5514.81
3,30000,0,1,0.805736,0,0.805736,8057.36,0,8057.36,2406.56,5650.8
4,40000,0,1,0.825001,0,0.825001,8250.01,0,8250.01,2472.37,5777.64
5,50000,0,1,0.843363,0,0.843363,8433.63,0,8433.63,2536.37,5897.26
6,60000,0,1,0.863056,0,0.863056,8630.56,0,8630.56,2601.59,6028.97
