epoch,time,total_power,headroom,avg_power,class0_p50,class0_p95,class0_p99,class0_qdel_p99,class0_throughput,class0_stall_busy_rate,class0_stall_full_rate,class0_stall_conflict_rate,class0_stall_reserved_rate,class0_stall_xbar_rate,class1_p50,class1_p95,class1_p99,class1_qdel_p99,class1_throughput,class1_stall_busy_rate,class1_stall_full_rate,class1_stall_conflict_rate,class1_stall_reserved_rate,class1_stall_xbar_rate
1,10000,0.768033,0.231967,0.768033,19,30,37,0,11.5086,0,0,0,0.0092625,1.48762,19,30,37,3,26.8069,0,0,0,0.0221187,3.39899
2,20000,0.786834,0.213166,0.777434,20,26,26,0,0.0005,0,0,0,0,0,18,31,31,1,0.0033,0,0,0,0,0
3,30000,0.805736,0.194264,0.786868,0,0,0,0,0.0012,0,0,0,0,0,0,0,0,0,0.0028,0,0,0,0,0
4,40000,0.825001,0.174999,0.796401,19,30,37,0,11.5223,0,0,0,0.0088625,1.50105,19,30,37,3,26.9008,0,0,0,0.0223938,3.45676
5,50000,0.843363,0.156637,0.805794,19,30,37,0,11.5134,0,0,0,0.00926875,1.49594,19,30,37,3,26.8052,0,0,0,0.022575,3.39703
6,60000,0.863056,0.136944,0.815337,19,30,37,0,11.6148,0,0,0,0.0099875,1.52635,19,30,37,3,26.9078,0,0,0,0.0218813,3.47671
