epoch,time,total_power,headroom,avg_power,class0_p50,class0_p95,class0_p99,class0_qdel_p99,class0_throughput,class0_stall_busy_rate,class0_stall_full_rate,class0_stall_conflict_rate,class0_stall_reserved_rate,class0_stall_xbar_rate,class1_p50,class1_p95,class1_p99,class1_qdel_p99,class1_throughput,class1_stall_busy_rate,class1_stall_full_rate,class1_stall_conflict_rate,class1_stall_reserved_rate,class1_stall_xbar_rate
1,10000,0.671601,-0.371601,0.671601,16,22,24,0,3.8437,0,0,0,6.25e-06,0.07235,16,22,24,1,8.9454,0,0,0,0,0.165644
2,20000,0.576056,-0.276056,0.623829,20,22,22,0,0.0005,0,0,0,0,0,15,19,19,0,0.0011,0,0,0,0,0
3,30000,0.518773,-0.218773,0.58881,0,0,0,0,0.0003,0,0,0,0,0,0,0,0,0,0.0009,0,0,0,0,0
4,40000,0.432944,-0.132944,0.549844,23,32,37,0,3.8129,0,0,0,1.25e-05,0.178781,23,32,37,1,8.989,0,0,0,0,0.412356
5,50000,0.415463,-0.115463,0.522968,25,35,40,0,3.8091,0,0,0,6.25e-06,0.200394,25,34,40,1,8.9495,0,0,0,1.25e-05,0.461156
6,60000,0.415348,-0.115348,0.505031,25,35,41,0,3.8517,0,0,0,0,0.211638,25,35,41,1,9.0126,0,0,0,0,0.48605
7,70000,0.417581,-0.117581,0.492538,25,36,42,0,3.8373,0,0,0,0,0.218606,25,36,41,1,8.9698,0,0,0,0,0.4927
