epoch,time,domain,freq,dyn_power,leak_power,total_power,dyn_energy,leak_energy,total_energy,class0_energy,class1_energy
1,10000,0,1,0.71974,0,0.71974,7197.4,0,7197.4,2166.32,5031.08
2,20000,0,0.999142,0.687286,0,0.687286,6872.86,0,6872.86,2064.62,4808.24
3,30000,0,0.997459,0.656051,0,0.656051,6560.51,0,6560.51,1972.43,4588.09
4,40000,0,0.995907,0.624178,0,0.624178,6241.78,0,6241.78,1880.72,4361.06
5,50000,0,0.80202,0.586819,0,0.586819,5868.19,0,5868.19,1762.04,4106.16
6,60000,0,0.708556,0.572817,0,0.572817,5728.17,0,5728.17,1716.58,4011.59
7,70000,0,0.623467,0.557733,0,0.557733,5577.33,0,5577.33,1680.37,3896.96
8,80000,0,0.572169,0.542372,0,0.542372,5423.72,0,5423.72,1628.77,3794.95
9,90000,0,0.581283,0.544482,0,0.544482,5444.82,0,5444.82,1642.75,3802.08
10,100000,0,0.59271,0.550013,0,0.550013,5500.13,0,5500.13,1651.31,3848.83
11,110000,0,0.596253,0.557294,0,0.557294,5572.94,0,5572.94,1666.26,3906.68
