epoch,time,total_power,headroom,avg_power,class0_p50,class0_p95,class0_p99,class0_qdel_p99,class0_throughput,class0_stall_busy_rate,class0_stall_full_rate,class0_stall_conflict_rate,class0_stall_reserved_rate,class0_stall_xbar_rate,class1_p50,class1_p95,class1_p99,class1_qdel_p99,class1_throughput,class1_stall_busy_rate,class1_stall_full_rate,class1_stall_conflict_rate,class1_stall_reserved_rate,class1_stall_xbar_rate
1,10000,0.71974,0.28026,0.71974,17,24,27,0,7.6765,0,0,0,0.00023125,0.430063,17,24,27,2,17.8324,0,0,0,0.0006625,0.971275
2,20000,0.687286,0.312714,0.703513,13,20,20,0,0.0005,0,0,0,0,0,15,30,30,1,0.0017,0,0,0,0,0
3,30000,0.656051,0.343949,0.687693,0,0,0,0,0.0004,0,0,0,0,0,0,0,0,0,0.0019,0,0,0,0,0
4,40000,0.624178,0.375822,0.671814,22,33,41,0,7.7108,0,0,0,0.00100625,0.752306,21,33,41,2,17.905,0,0,0,0.00233125,1.70244
5,50000,0.586819,0.413181,0.654815,24,38,48,0,7.6614,0,0,0,0.0020875,0.901325,24,38,48,2,17.8475,0,0,0,0.0047,2.05119
6,60000,0.572817,0.427183,0.641149,25,44,57,0,7.6927,0,0,0,0.00466875,1.06137,25,44,57,2,17.9863,0,0,0,0.010675,2.44962
7,70000,0.557733,0.442267,0.629232,27,49,65,0,7.6849,0,0,0,0.0086375,1.20439,27,49,65,2,17.8577,0,0,0,0.0209,2.7416
8,80000,0.542372,0.457628,0.618375,30,58,78,0,7.6622,0,0,0,0.0127625,1.42149,30,58,78,2,17.8513,0,0,0,0.0319938,3.24954
9,90000,0.544482,0.455518,0.610164,31,63,85,0,7.7444,0,0,0,0.016125,1.56743,31,63,85,2,17.936,0,0,0,0.036725,3.56935
10,100000,0.550013,0.449987,0.604149,31,65,89,0,7.6661,0,0,0,0.0168875,1.55208,31,64,89,2,17.8821,0,0,0,0.0397875,3.61605
11,110000,0.557294,0.442706,0.59989,32,66,89,0,7.6522,0,0,0,0.017425,1.62376,32,65,89,2,17.9328,0,0,0,0.040525,3.72532
