epoch,time,total_power,headroom,avg_power,class0_p50,class0_p95,class0_p99,class0_qdel_p99,class0_throughput,class0_stall_busy_rate,class0_stall_full_rate,class0_stall_conflict_rate,class0_stall_reserved_rate,class0_stall_xbar_rate,class1_p50,class1_p95,class1_p99,class1_qdel_p99,class1_throughput,class1_stall_busy_rate,class1_stall_full_rate,class1_stall_conflict_rate,class1_stall_reserved_rate,class1_stall_xbar_rate
1,10000,0.671601,-0.171601,0.671601,16,22,24,0,3.8437,0,0,0,6.25e-06,0.07235,16,22,24,1,8.9454,0,0,0,0,0.165644
2,20000,0.470021,0.0299793,0.570811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,30000,0.709151,-0.209151,0.616924,0,0,0,0,0.0004,0,0,0,0,0,0,0,0,0,0.0009,0,0,0,0,0
4,40000,0.443818,0.0561818,0.573648,23,31,35,0,3.8117,0,0,0,0,0.165606,23,31,35,1,8.9859,0,0,0,0,0.385
5,50000,0.746942,-0.246942,0.608307,16,22,24,0,3.8118,0,0,0,0,0.0723812,16,22,24,1,8.9551,0,0,0,0,0.16585
6,60000,0.411704,0.0882965,0.57554,26,36,42,0,3.8488,0,0,0,0,0.216787,26,36,42,1,9.0066,0,0,0,0,0.490919
7,70000,0.784784,-0.284784,0.605432,16,22,24,0,3.8413,0,0,0,0,0.0720812,16,22,24,1,8.9778,0,0,0,0,0.165612
8,80000,0.425886,0.0741144,0.582988,26,37,43,0,3.8199,0,0,0,0,0.216244,26,37,43,1,8.9598,0,0,0,0,0.496769
9,90000,0.822489,-0.322489,0.6096,16,22,24,0,3.8355,0,0,0,0,0.0708125,16,22,24,1,8.9821,0,0,0,6.25e-06,0.16655
10,100000,0.444703,0.0552966,0.59311,26,37,42,0,3.8521,0,0,0,0,0.211806,26,37,42,1,8.9095,0,0,0,1.25e-05,0.490344
11,110000,0.860099,-0.360099,0.617382,16,22,24,0,3.8566,0,0,0,0,0.0714438,16,22,24,1,8.921,0,0,0,0,0.163294
