epoch,time,domain,freq,dyn_power,leak_power,total_power,dyn_energy,leak_energy,total_energy,class0_energy,class1_energy
1,10000,0,1,0.71974,0,0.71974,7197.4,0,7197.4,2166.32,5031.08
2,20000,0,0.899314,0.606453,0,0.606453,6064.53,0,6064.53,1821.85,4242.69
3,30000,0,0.817723,0.543007,0,0.543007,5430.07,0,5430.07,1632.55,3797.52
4,40000,0,0.606338,0.499207,0,0.499207,4992.07,0,4992.07,1504.09,3487.98
5,50000,0,0.534408,0.471679,0,0.471679,4716.79,0,4716.79,1416.26,3300.53
6,60000,0,0.53496,0.477644,0,0.477644,4776.44,0,4776.44,1431.42,3345.02
7,70000,0,0.51021,0.473616,0,0.473616,4736.16,0,4736.16,1426.97,3309.19
8,80000,0,0.520531,0.489311,0,0.489311,4893.11,0,4893.11,1469.33,3423.77
9,90000,0,0.527424,0.504727,0,0.504727,5047.27,0,5047.27,1522.98,3524.29
10,100000,0,0.534858,0.515691,0,0.515691,5156.91,0,5156.91,1548.27,3608.64
