epoch,time,total_power,headroom,avg_power,class0_p50,class0_p95,class0_p99,class0_qdel_p99,class0_throughput,class0_stall_busy_rate,class0_stall_full_rate,class0_stall_conflict_rate,class0_stall_reserved_rate,class0_stall_xbar_rate,class1_p50,class1_p95,class1_p99,class1_qdel_p99,class1_throughput,class1_stall_busy_rate,class1_stall_full_rate,class1_stall_conflict_rate,class1_stall_reserved_rate,class1_stall_xbar_rate
1,10000,0.768033,0.0319666,0.768033,19,30,37,0,11.5086,0,0,0,0.0092625,1.48762,19,30,37,3,26.8069,0,0,0,0.0221187,3.39899
2,20000,0.766888,0.0331117,0.767461,17,26,26,0,0.0007,0,0,0,0,0,18,29,37,3,0.0029,0,0,0,0,0
3,30000,0.785214,0.0147862,0.773379,0,0,0,0,0.0009,0,0,0,0,0,0,0,0,0,0.0024,0,0,0,0,0
4,40000,0.800069,-6.93048e-05,0.780051,20,34,43,0,11.5213,0,0,0,0.0154062,1.68637,20,34,43,3,26.9017,0,0,0,0.0376563,3.84593
5,50000,0.817735,-0.017735,0.787588,20,34,43,0,11.5143,0,0,0,0.014975,1.6669,20,33,42,3,26.804,0,0,0,0.0344438,3.79894
6,60000,0.825524,-0.0255239,0.793911,21,36,49,0,11.6134,0,0,0,0.0284187,1.80065,21,36,48,3,26.9073,0,0,6.25e-05,0.0699313,4.10109
