epoch,time,domain,freq,dyn_power,leak_power,total_power,dyn_energy,leak_energy,total_energy,class0_energy,class1_energy
1,10000,0,1,0.71974,0,0.71974,7197.4,0,7197.4,2166.32,5031.08
2,20000,0,0.560519,0.456569,0,0.456569,4565.69,0,4565.69,1371.64,3194.05
3,30000,0,1,0.757625,0,0.757625,7576.25,0,7576.25,2277.61,5298.64
4,40000,0,0.5,0.436488,0,0.436488,4364.88,0,4364.88,1315.14,3049.73
5,50000,0,1,0.795333,0,0.795333,7953.33,0,7953.33,2388.26,5565.07
6,60000,0,0.5,0.455648,0,0.455648,4556.48,0,4556.48,1365.35,3191.13
7,70000,0,1,0.833119,0,0.833119,8331.19,0,8331.19,2510.19,5820.99
8,80000,0,0.5,0.473828,0,0.473828,4738.28,0,4738.28,1422.88,3315.39
9,90000,0,1,0.871514,0,0.871514,8715.14,0,8715.14,2629.65,6085.49
10,100000,0,0.5,0.492805,0,0.492805,4928.05,0,4928.05,1479.5,3448.54
11,110000,0,1,0.908699,0,0.908699,9086.99,0,9086.99,2717,6370
12,120000,0,0.5,0.511754,0,0.511754,5117.54,0,5117.54,1537.71,3579.83
13,130000,0,0.976491,0.926484,0,0.926484,9264.84,0,9264.84,2770.89,6493.95
14,140000,0,0.5,0.530897,0,0.530897,5308.97,0,5308.97,1597.09,3711.88
15,150000,0,0.938206,0.929251,0,0.929251,9292.51,0,9292.51,2799.28,6493.22
