epoch,time,total_power,headroom,avg_power,class0_p50,class0_p95,class0_p99,class0_qdel_p99,class0_throughput,class0_stall_busy_rate,class0_stall_full_rate,class0_stall_conflict_rate,class0_stall_reserved_rate,class0_stall_xbar_rate,class1_p50,class1_p95,class1_p99,class1_qdel_p99,class1_throughput,class1_stall_busy_rate,class1_stall_full_rate,class1_stall_conflict_rate,class1_stall_reserved_rate,class1_stall_xbar_rate
1,10000,0.71974,-0.21974,0.71974,17,24,27,0,7.6765,0,0,0,0.00023125,0.430063,17,24,27,2,17.8324,0,0,0,0.0006625,0.971275
2,20000,0.456569,0.0434313,0.588155,28,52,52,0,0.0012,0,0,0,0,0,28,53,57,2,0.0034,0,0,0,0,0
3,30000,0.757625,-0.257625,0.644645,0,0,0,0,0.0005,0,0,0,0,0,0,0,0,0,0.0022,0,0,0,0,0
4,40000,0.436488,0.0635122,0.592605,46,121,172,0,7.675,0,0,0.00025625,0.0962375,2.63703,45,119,173,2,17.8332,0,0,0.0007625,0.206319,6.13436
5,50000,0.795333,-0.295333,0.633151,17,24,29,0,7.7,0,0,0,0.001925,0.441819,17,24,29,2,17.9263,0,0,0,0.0029,0.995637
6,60000,0.455648,0.0443519,0.603567,47,124,179,0,7.667,0,0,0.001175,0.104144,2.70641,46,123,177,2,17.9256,1.25e-05,0,0.00233125,0.229769,6.25047
7,70000,0.833119,-0.333119,0.63636,17,24,28,0,7.7138,0,0,0,0.0008125,0.436656,17,24,28,2,17.9277,0,0,5.625e-05,0.0023625,0.991762
8,80000,0.473828,0.0261724,0.616044,45,118,176,0,7.6343,0,0,0.00070625,0.085625,2.62084,45,116,170,2,17.7833,0,0,0.001625,0.191644,6.01255
9,90000,0.871514,-0.371514,0.644429,17,24,29,0,7.7774,0,0,0,0.00213125,0.4521,17,24,29,2,18.0116,0,0,0,0.00353125,1.01723
10,100000,0.492805,0.0071955,0.629267,45,117,169,0,7.6388,0,0,0.00036875,0.0822375,2.60113,45,116,167,2,17.817,0,0,0.00119375,0.199687,5.99878
11,110000,0.908699,-0.408699,0.65467,17,24,28,0,7.681,0,0,0,0.001,0.438631,17,24,28,2,18.0028,0,0,0,0.0024375,0.995081
12,120000,0.511754,-0.0117544,0.64276,46,119,173,0,7.6563,0,0,0.00040625,0.0827438,2.62572,45,117,171,2,17.8449,0,0,0.0008875,0.201456,6.09469
13,130000,0.926484,-0.426484,0.664585,18,25,29,0,7.696,0,0,0,0.0007375,0.454012,18,25,29,2,18.0038,0,0,0,0.00215,1.04389
14,140000,0.530897,-0.0308971,0.655036,46,118,171,0,7.6798,0,0,0.000525,0.087325,2.63506,45,117,171,2,17.8763,0,0,0.0009,0.195725,6.08009
15,150000,0.929251,-0.429251,0.673317,18,26,31,0,7.7329,0,0,0,0.0010375,0.506494,18,26,30,2,17.9542,0,0,0,0.0021625,1.13251
