epoch,time,domain,freq,dyn_power,leak_power,total_power,dyn_energy,leak_energy,total_energy,class0_energy,class1_energy
1,10000,0,1,0.71974,0,0.71974,7197.4,0,7197.4,2166.32,5031.08
2,20000,0,0.5,0.417635,0,0.417635,4176.35,0,4176.35,1254.75,2921.6
3,30000,0,0.607882,0.49846,0,0.49846,4984.6,0,4984.6,1498.47,3486.13
4,40000,0,0.5,0.436531,0,0.436531,4365.31,0,4365.31,1315.21,3050.09
5,50000,0,0.544897,0.477203,0,0.477203,4772.03,0,4772.03,1432.96,3339.07
6,60000,0,0.5,0.455727,0,0.455727,4557.27,0,4557.27,1365.66,3191.61
7,70000,0,0.5,0.464659,0,0.464659,4646.59,0,4646.59,1400.02,3246.57
8,80000,0,0.5,0.473993,0,0.473993,4739.93,0,4739.93,1423.42,3316.51
9,90000,0,0.5,0.484154,0,0.484154,4841.54,0,4841.54,1460.71,3380.83
