epoch,time,domain,freq,dyn_power,leak_power,total_power,dyn_energy,leak_energy,total_energy,class0_energy,class1_energy
1,10000,0,1,0.768033,0,0.768033,7680.33,0,7680.33,2304.85,5375.49
2,20000,0,1,0.786834,0,0.786834,7868.34,0,7868.34,2353.53,5514.81
3,30000,0,1,0.805736,0,0.805736,8057.36,0,8057.36,2406.56,5650.8
4,40000,0,0.99283,0.820133,0,0.820133,8201.33,0,8201.33,2457.73,5743.6
5,50000,0,0.974834,0.825775,0,0.825775,8257.75,0,8257.75,2483.57,5774.18
6,60000,0,0.967782,0.839936,0,0.839936,8399.36,0,8399.36,2531.88,5867.48
