epoch,time,domain,freq,dyn_power,leak_power,total_power,dyn_energy,leak_energy,total_energy,class0_energy,class1_energy
1,10000,0,1,0.671601,0,0.671601,6716.01,0,6716.01,2018.46,4697.56
2,20000,0,0.5,0.369313,0,0.369313,3693.13,0,3693.13,1109.8,2583.33
3,30000,0,1,0.709158,0,0.709158,7091.58,0,7091.58,2140.32,4951.27
4,40000,0,0.5,0.388268,0,0.388268,3882.68,0,3882.68,1154.8,2727.88
5,50000,0,1,0.746948,0,0.746948,7469.48,0,7469.48,2230.1,5239.38
6,60000,0,0.5,0.407321,0,0.407321,4073.21,0,4073.21,1218.63,2854.58
7,70000,0,0.981697,0.771308,0,0.771308,7713.08,0,7713.08,2312.89,5400.19
8,80000,0,0.5,0.425883,0,0.425883,4258.83,0,4258.83,1273.02,2985.82
9,90000,0,0.935292,0.772392,0,0.772392,7723.92,0,7723.92,2316,5407.93
10,100000,0,0.5,0.444702,0,0.444702,4447.02,0,4447.02,1341.91,3105.12
